instruction,category,intent
no sé cómo cambiar mi dirección,SHIPPING,change_shipping_address
puedes ayudarme a darme de baja de tu boletín informativo corporativo,SUBSCRIPTION,newsletter_subscription
necesito recibir tu boletín informativo ayúdame,SUBSCRIPTION,newsletter_subscription
no puedo hablar con una persona,CONTACT,contact_human_agent
abrir una nueva cuenta tipo_cuenta para su hija,ACCOUNT,create_account
actualizando la compra numero_pedido,ORDER,change_order
quiero ayuda para ver la penalización por retiro,CANCEL,check_cancellation_fee
tengo que comprobar la fecha estimada de entrega del pedido 732201349959 necesito ayuda,ORDER,track_order
puedes ayudarme a usar el perfil premium,ACCOUNT,switch_account
informar sobre problemas de pago,PAYMENT,payment_issue
dónde puedo consultar el cargo por salida anticipada,CANCEL,check_cancellation_fee
no sé cómo puedo escribir un comentario sobre un producto,FEEDBACK,review
consulta en qué casos puedo solicitar la devolución de mi dinero,REFUND,check_refund_policy
necesito ayuda para presentar una reclamación de consumidor,FEEDBACK,complaint
busque mis facturas de nombre_persona,INVOICE,check_invoice
es posible localizar mi factura de nombre_persona,INVOICE,check_invoice
ayúdame a crear una nueva cuenta de tipo_cuenta,ACCOUNT,create_account
dónde puedo abrir una cuenta gold para mi prometido,ACCOUNT,create_account
cómo puedo obtener información sobre la eliminación de una cuenta freemium,ACCOUNT,delete_account
estoy intentando enviar algunos comentarios,FEEDBACK,review
quiero consultar qué métodos de envío ofreces me puedes ayudar,DELIVERY,delivery_options
realizan envíos a ciudad_entrega,DELIVERY,delivery_options
realizan envíos a ciudad_entrega,DELIVERY,delivery_options
tengo que localizar el pedido numero_pedido podrían ayudarme,ORDER,track_order
quiero recibir el boletín informativo de la empresa cómo puedo hacerlo,SUBSCRIPTION,newsletter_subscription
podría saber si hay alguna novedad sobre mi indemnización,REFUND,track_refund
no sé cómo consultar las opciones de envío que tengo,DELIVERY,delivery_options
me puedes ayudar a ver las modalidades de pago aceptadas,PAYMENT,check_payment_methods
necesito ayuda para dar un vistazo rápido a la factura n 37777,INVOICE,check_invoice
qué tengo que hacer para presentar una maldita queja,FEEDBACK,complaint
no sé qué hacer para notificar un problema con el registro,ACCOUNT,registration_problems
espero un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund
necesito ayuda para cancelar el pedido numero_pedido,ORDER,cancel_order
tengo que usar la cuenta tipo_cuenta,ACCOUNT,switch_account
necesito ayuda para ver el estado de mi compensación,REFUND,track_refund
no puedo ver el estado del pedido numero_pedido,ORDER,track_order
necesito ayuda para saber cuándo puedo esperar mi paquete,DELIVERY,delivery_period
dónde puedo consultar si hay alguna novedad sobre mi reembolso,REFUND,track_refund
ayúdenme a ver en qué caso puedo solicitar los malditos reembolsos,REFUND,check_refund_policy
no puedo hablar con un asistente,CONTACT,contact_human_agent
no sé qué debo hacer para descargar la factura n 85632,INVOICE,get_invoice
dónde puedo consultar el estado de la restitución,REFUND,track_refund
quiero corregir la dirección de envío me puedes ayudar,SHIPPING,change_shipping_address
es posible recuperar la clave de mi cuenta de usuario,ACCOUNT,recover_password
no puedo ver el estado de mi compensación,REFUND,track_refund
es posible notificar los problemas de registro,ACCOUNT,registration_problems
quiero ayuda para introducir la dirección de envío,SHIPPING,set_up_shipping_address
necesito ayuda para comprobar qué métodos de pago se aceptan,PAYMENT,check_payment_methods
cómo puedo encontrar mi factura de nombre_persona,INVOICE,check_invoice
no sé qué hacer para descargar la factura n 12588,INVOICE,get_invoice
estoy buscando los plazos de envío necesito ayuda,DELIVERY,delivery_period
tengo que descargar mi maldita factura de nombre_persona,INVOICE,get_invoice
tengo problemas para configurar mi dirección de entrega,SHIPPING,set_up_shipping_address
tengo que comprobar las modalidades de pago que aceptas,PAYMENT,check_payment_methods
espero una compensación de monto_reembolso dólares,REFUND,track_refund
tengo que comprobar la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order
ayúdenme a reportar un problema con el pago en línea,PAYMENT,payment_issue
tengo que contactar con un agente humano,CONTACT,contact_human_agent
necesitas ayuda para reportar un error con los pagos en línea,PAYMENT,payment_issue
dónde presentar una queja de un cliente contra su empresa,FEEDBACK,complaint
necesito ayuda para ver el estado de la compra numero_pedido,ORDER,track_order
estoy intentando cancelar mi suscripción al boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription
necesito ayuda para notificar problemas con los pagos en línea,PAYMENT,payment_issue
cómo consultar la fecha estimada de entrega del pedido numero_pedido,ORDER,track_order
puedes ayudarme a recuperar mi código pin,ACCOUNT,recover_password
qué debo hacer para restaurar la clave de mi cuenta,ACCOUNT,recover_password
cómo puedo saber cuándo puedo esperar mi paquete,DELIVERY,delivery_period
dónde puedo ver la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order
llamo para dejar algunos comentarios sobre sus servicios,FEEDBACK,review
no sé qué hacer para hablar con un asistente,CONTACT,contact_human_agent
necesito ayuda para comprobar cuánto tarda el envío de tazkes,DELIVERY,delivery_period
dónde puedo ver las opciones de envío que tengo disponibles,DELIVERY,delivery_options
qué debo hacer para encontrar mi factura n 00108,INVOICE,check_invoice
necesito ayuda para reportar un problema con el pago en línea,PAYMENT,payment_issue
necesito ayuda para cambiar a la cuenta estándar,ACCOUNT,switch_account
qué debo hacer para cambiar la dirección,SHIPPING,change_shipping_address
cómo usar el perfil tipo_cuenta,ACCOUNT,switch_account
no sé cómo puedo enviar la dirección de entrega,SHIPPING,set_up_shipping_address
ayuda para hablar con un agente humano,CONTACT,contact_human_agent
no sé cómo reportar problemas con los pagos en línea,PAYMENT,payment_issue
quiero cambiar los datos personales necesito ayuda,ACCOUNT,edit_account
estoy intentando dejar mi opinión sobre sus productos,FEEDBACK,review
quiero ver la penalización por cancelación ayúdenme,CANCEL,check_cancellation_fee
no sé qué debo hacer para consultar la factura n 37777,INVOICE,check_invoice
la experiencia con su marca fue mala presente una reclamación,FEEDBACK,complaint
estoy intentando informar sobre un problema con los pagos,PAYMENT,payment_issue
estoy intentando cancelar una cuenta freemium,ACCOUNT,delete_account
quiero ayuda para actualizar la dirección de entrega,SHIPPING,change_shipping_address
cómo corrijo mis datos de usuario,ACCOUNT,edit_account
quiero ayuda para comprobar los malditos métodos de pago,PAYMENT,check_payment_methods
quiero dejar una opinión sobre un servicio,FEEDBACK,review
no sé cómo cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account
necesito ayuda para restablecer la clave de mi cuenta de usuario,ACCOUNT,recover_password
no sé cómo podría recibir un reembolso de dinero,REFUND,get_refund
puedes ayudarme a ver los cargos por salida anticipada,CANCEL,check_cancellation_fee
quiero ayuda para cancelar la compra numero_pedido,ORDER,cancel_order
podrías ayudarme a corregir el pedido numero_pedido,ORDER,change_order
presente una queja de un cliente contra su empresa,FEEDBACK,complaint
qué debo hacer para eliminar la cuenta tipo_cuenta,ACCOUNT,delete_account
dónde puedo cancelar la compra numero_pedido,ORDER,cancel_order
necesitas ayuda para abrir una cuenta estándar,ACCOUNT,create_account
qué debo hacer para informar sobre problemas con el pago,PAYMENT,payment_issue
no sé qué debo hacer para dar seguimiento a la restitución,REFUND,track_refund
cómo puedo informar sobre errores en el pago,PAYMENT,payment_issue
quiero ayuda para comprobar la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order
tengo que corregir la información incluida en mi perfil de usuario,ACCOUNT,edit_account
no sé cómo puedo notificar los problemas de registro,ACCOUNT,registration_problems
puedo cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account
puedo eliminar una cuenta tipo_cuenta,ACCOUNT,delete_account
no puedo cambiar a la cuenta estándar,ACCOUNT,switch_account
cuándo llegará mi compra,DELIVERY,delivery_period
no sé qué debo hacer para cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account
dame información sobre los métodos de envío,DELIVERY,delivery_options
no sé qué hacer para suscribirme a su boletín informativo,SUBSCRIPTION,newsletter_subscription
qué debo hacer para solicitar la devolución de mi dinero,REFUND,get_refund
cómo puedo cancelar mi suscripción al boletín informativo,SUBSCRIPTION,newsletter_subscription
dónde puedo consultar mi factura n 00108,INVOICE,check_invoice
quiero ayuda para hablar con el maldito servicio al cliente,CONTACT,contact_customer_service
intento informar sobre problemas con los pagos,PAYMENT,payment_issue
necesito ayuda para notificar un error con el pago,PAYMENT,payment_issue
trato de enumerar los métodos de pago disponibles,PAYMENT,check_payment_methods
necesito ver las opciones de pago aceptadas cómo lo hago,PAYMENT,check_payment_methods
cancelar pedido numero_pedido,ORDER,cancel_order
necesito ayuda para reportar un problema con un registro,ACCOUNT,registration_problems
quiero ayuda para revisar su política de reembolso,REFUND,check_refund_policy
puedo hacer un pedido desde ciudad_entrega,DELIVERY,delivery_options
no sé cómo podría cambiar a la cuenta premium,ACCOUNT,switch_account
tengo problemas para configurar una dirección de entrega secundaria,SHIPPING,set_up_shipping_address
es posible consultar la factura n 37777,INVOICE,check_invoice
puedes ayudarme a comprobar el cargo por cancelación,CANCEL,check_cancellation_fee
me puedes ayudar a configurar mi dirección de entrega secundaria,SHIPPING,set_up_shipping_address
necesito ayuda para corregir la dirección,SHIPPING,change_shipping_address
ayuda para ganar algo de tu artículo,ORDER,place_order
corrección de datos en la cuenta pro,ACCOUNT,edit_account
tengo un error al ingresar mi nueva dirección de envío,SHIPPING,set_up_shipping_address
no sé qué debo hacer para descargar la factura n 00108,INVOICE,get_invoice
intento averiguar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy
quiero ayuda para chatear con una persona,CONTACT,contact_human_agent
reembolso monto_reembolso dólaresx,REFUND,get_refund
tengo que comprar un maldito artículo cómo lo hago,ORDER,place_order
cómo puedo ver las opciones de pago disponibles,PAYMENT,check_payment_methods
la nueva dirección de entrega no es válida qué debo hacer,SHIPPING,set_up_shipping_address
no puedo recuperar la clave de mi perfil de usuario,ACCOUNT,recover_password
puedes decirme cómo actualizar mi maldita dirección de envío,SHIPPING,change_shipping_address
asistencia para ver las opciones de pago aceptadas,PAYMENT,check_payment_methods
tengo problemas al intentar registrarme,ACCOUNT,registration_problems
no uso la maldita cuenta gold estoy intentando cerrarla,ACCOUNT,delete_account
no sé qué tengo que hacer para ver las opciones de entrega,DELIVERY,delivery_options
tengo que reportar problemas con el pago en línea,PAYMENT,payment_issue
necesito ayuda para informar de un problema con los pagos en línea,PAYMENT,payment_issue
actualizar compra numero_pedido,ORDER,change_order
necesito cancelar mi suscripción al boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription
no sé qué hacer para solicitar reembolsos,REFUND,get_refund
cómo puedo cambiar a la cuenta freemium,ACCOUNT,switch_account
quiero informar de un error con un maldito registro,ACCOUNT,registration_problems
ver si hay alguna noticia sobre la compensación,REFUND,track_refund
necesito ver las opciones de pago disponibles cómo puedo hacerlo,PAYMENT,check_payment_methods
informando sobre un problema con el registro,ACCOUNT,registration_problems
necesito hablar con un asistente,CONTACT,contact_human_agent
cambiar compra numero_pedido,ORDER,change_order
me gustaría ver las opciones de entrega necesito ayuda,DELIVERY,delivery_options
tengo que localizar el pedido numero_pedido me pueden ayudar,ORDER,track_order
podrías ayudarme a informar sobre problemas con el pago,PAYMENT,payment_issue
quiero ayuda para cancelar la compra numero_pedido,ORDER,cancel_order
necesito ayuda para cancelar la compra numero_pedido,ORDER,cancel_order
puedes ayudarme a ver la penalización por cancelación,CANCEL,check_cancellation_fee
quiero ver cuánto tarda en llegar el rocío,DELIVERY,delivery_period
no sé cómo dejar comentarios sobre su empresa,FEEDBACK,review
necesito ayuda para cancelar la compra numero_pedido,ORDER,cancel_order
necesito ayuda para contactar con un agente humano,CONTACT,contact_human_agent
necesito ayuda para localizar el pedido numero_pedido,ORDER,track_order
ayúdame a ver las modalidades de pago aceptadas,PAYMENT,check_payment_methods
no sé cómo puedo escribir una opinión sobre un producto,FEEDBACK,review
ayuda para comprobar cuánto tarda en llegar mi paquete,DELIVERY,delivery_period
tengo que ver en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy
puedo ver las modalidades de pago aceptadas,PAYMENT,check_payment_methods
dónde puedo cambiarme a la maldita cuenta estándar,ACCOUNT,switch_account
dónde puedo darme de baja del boletín informativo de su empresa,SUBSCRIPTION,newsletter_subscription
podría indicarme en qué horario puedo llamar al servicio de atención al cliente,CONTACT,contact_customer_service
puedo hacer un pedido desde ciudad_entrega,DELIVERY,delivery_options
comprobando la fecha estimada de llegada del pedido numero_pedido,ORDER,track_order
qué debo hacer para hablar con un agente en directo,CONTACT,contact_human_agent
ver el estado actual de mi restitución,REFUND,track_refund
quiero ayuda para escribir un comentario sobre un servicio,FEEDBACK,review
necesito ayuda para configurar mi dirección de envío secundaria,SHIPPING,set_up_shipping_address
informando de problemas con el pago en línea,PAYMENT,payment_issue
tengo que hablar con atención al cliente cómo puedo hacerlo,CONTACT,contact_customer_service
no sé qué tengo que hacer para cerrar mi cuenta gold,ACCOUNT,delete_account
estoy esperando una compensación de monto_reembolso dólares,REFUND,track_refund
es posible ver el estado actual de la compra numero_pedido,ORDER,track_order
ayúdame a obtener un reembolso,REFUND,get_refund
quiero informar sobre errores con el pago en línea puedes ayudarme,PAYMENT,payment_issue
cómo puedo consultar el horario de atención al cliente,CONTACT,contact_customer_service
necesito saber cuándo puedo esperar mi maldito pedido,DELIVERY,delivery_period
cómo puedo cambiar la compra numero_pedido,ORDER,change_order
estoy esperando un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund
tengo que ver cuánto tarda la entrega necesito ayuda,DELIVERY,delivery_period
no sé qué hacer para localizar el pedido numero_pedido,ORDER,track_order
necesito presentar una reclamación de cliente cómo lo hago,FEEDBACK,complaint
no sé qué hacer para localizar la compra numero_pedido,ORDER,track_order
no puedo pagar la compra numero_pedido,ORDER,cancel_order
quiero ayuda para agregar algunos productos a la compra numero_pedido,ORDER,change_order
necesitas ayuda para cambiar a la cuenta premium,ACCOUNT,switch_account
ayuda para cancelar la suscripción a su boletín informativo corporativo,SUBSCRIPTION,newsletter_subscription
espero una compensación de simbolo_moneda monto_reembolso,REFUND,track_refund
dónde cancelar la compra numero_pedido,ORDER,cancel_order
puedes ayudarme a encontrar las facturas de nombre_persona,INVOICE,check_invoice
tengo que enviar mi nueva dirección de envío,SHIPPING,set_up_shipping_address
ver factura n 37777,INVOICE,check_invoice
muéstrame la penalización por salida anticipada,CANCEL,check_cancellation_fee
no sé qué tengo que hacer para localizar la factura n 00108,INVOICE,check_invoice
asistencia para presentar una queja de un cliente contra su empresa,FEEDBACK,complaint
necesito dejar un comentario sobre sus servicios cómo puedo hacerlo,FEEDBACK,review
no sé cómo introducir la dirección de envío,SHIPPING,set_up_shipping_address
dirección de corrección de problemas,SHIPPING,change_shipping_address
cambiar pedido numero_pedido,ORDER,change_order
qué debo hacer para informar de un problema de registro,ACCOUNT,registration_problems
quiero ayuda para presentar una reclamación contra su empresa,FEEDBACK,complaint
tengo problemas para crear mi cuenta tipo_cuenta,ACCOUNT,create_account
estoy intentando averiguar los plazos de envío me puedes ayudar,DELIVERY,delivery_period
puedo cancelar la maldita suscripción a su boletín informativo,SUBSCRIPTION,newsletter_subscription
la dirección de envío secundaria no es válida ayúdenme,SHIPPING,set_up_shipping_address
necesito saber si hay alguna noticia sobre el reembolso ayúdenme,REFUND,track_refund
no sé qué hacer para descargar la factura n 37777,INVOICE,get_invoice
cómo puedo comunicarme con el servicio al cliente,CONTACT,contact_customer_service
puedes ayudarme a editar mi dirección,SHIPPING,change_shipping_address
quiero restablecer la maldita clave de mi usuario me ayudarás,ACCOUNT,recover_password
me gustaría consultar su política de reembolsos cómo puedo hacerlo,REFUND,check_refund_policy
cómo puedo comprobar si hay alguna novedad sobre la restitución,REFUND,track_refund
quiero consultar el estado de mi reembolso necesito ayuda,REFUND,track_refund
no sé qué hacer para hablar con atención al cliente,CONTACT,contact_customer_service
podría ayudarme a presentar una reclamación contra su empresa,FEEDBACK,complaint
cómo puedo consultar los métodos de envío disponibles,DELIVERY,delivery_options
no sé cómo podría eliminar la cuenta platino,ACCOUNT,delete_account
asistencia para exigir un reembolso,REFUND,get_refund
no sé qué debo hacer para presentar una reclamación de cliente,FEEDBACK,complaint
tengo un problema al ingresar mi nueva dirección de entrega,SHIPPING,set_up_shipping_address
ayúdame a dejar una opinión sobre tus productos,FEEDBACK,review
no sé cómo localizar la factura n 85632,INVOICE,check_invoice
informar sobre problemas con los pagos,PAYMENT,payment_issue
tengo una pregunta sobre la eliminación de mi cuenta tipo_cuenta,ACCOUNT,delete_account
no sé cómo podría eliminar la maldita cuenta tipo_cuenta,ACCOUNT,delete_account
no sé qué hacer para comprobar el estado de la restitución,REFUND,track_refund
necesito darme de baja del boletín informativo,SUBSCRIPTION,newsletter_subscription
estoy intentando averiguar cuándo llegará mi compra,DELIVERY,delivery_period
podrías informarme sobre cómo actualizar la dirección de envío,SHIPPING,change_shipping_address
no sé cómo obtener un reembolso de mi dinero,REFUND,get_refund
asistencia para consultar la fecha estimada de entrega del pedido numero_pedido,ORDER,track_order
es posible solicitar un reembolso de mi dinero,REFUND,get_refund
quiero ayuda para adquirir varios de sus productos,ORDER,place_order
sería posible proporcionar una dirección de entrega diferente,SHIPPING,set_up_shipping_address
cambiando la información de la cuenta tipo_cuenta,ACCOUNT,edit_account
es posible realizar un pedido desde ciudad_entrega,DELIVERY,delivery_options
dónde puedo recuperar la contraseña de mi perfil,ACCOUNT,recover_password
hay un problema al configurar la dirección de envío,SHIPPING,set_up_shipping_address
me gustaría saber cómo cambiar mi dirección de entrega,SHIPPING,change_shipping_address
tengo un problema al cancelar la compra numero_pedido,ORDER,cancel_order
ayuda para saber si hay alguna novedad sobre la restitución,REFUND,track_refund
podrías ayudarme a configurar la nueva dirección de envío,SHIPPING,set_up_shipping_address
necesito ingresar una dirección de envío diferente,SHIPPING,set_up_shipping_address
qué debo hacer para que aparezcan en la lista de métodos de pago aceptados,PAYMENT,check_payment_methods
necesito ayuda para hablar con el servicio de atención al cliente,CONTACT,contact_customer_service
tengo que hablar con atención al cliente para saber cómo hacerlo,CONTACT,contact_customer_service
quiero ayuda para ganar algunos artículos,ORDER,place_order
qué tengo que hacer para chatear con alguien,CONTACT,contact_human_agent
no sé qué debo hacer para recuperar mi pin de cuenta,ACCOUNT,recover_password
puedo consultar sus métodos de pago disponibles,PAYMENT,check_payment_methods
tengo que suscribirme a su boletín informativo corporativo necesito ayuda,SUBSCRIPTION,newsletter_subscription
informar de un problema con el pago,PAYMENT,payment_issue
no sé cómo escribir un comentario sobre sus servicios,FEEDBACK,review
me gustaría enviar la dirección de entrega,SHIPPING,set_up_shipping_address
mostrándome la fecha estimada de compra numero_pedido,ORDER,track_order
necesito ayuda para solicitar un reembolso,REFUND,get_refund
necesito descargar la factura n 00108 cómo lo hago,INVOICE,get_invoice
envío a ciudad_entrega,DELIVERY,delivery_options
no sé cómo hacer el seguimiento de mi indemnización,REFUND,track_refund
necesito ayuda para informar sobre problemas con los pagos,PAYMENT,payment_issue
no sé cómo informar sobre problemas de pago,PAYMENT,payment_issue
busque mi factura de nombre_persona,INVOICE,check_invoice
podrían ayudarme a presentar una reclamación contra su organización,FEEDBACK,complaint
cómo enviar comentarios sobre sus productos,FEEDBACK,review
errores al configurar una maldita dirección de entrega,SHIPPING,set_up_shipping_address
tengo un reembolso de simbolo_moneda monto_reembolso por un pedido necesito obtener un reembolso,REFUND,get_refund
quiero enumerar las opciones de pago permitidas necesito ayuda,PAYMENT,check_payment_methods
tengo que comprobar cuándo llegará mi artículo,DELIVERY,delivery_period
no sé qué tengo que hacer para cambiar a la cuenta pro,ACCOUNT,switch_account
no sé cómo puedo ver tus métodos de pago,PAYMENT,check_payment_methods
editar la cuenta tipo_cuenta,ACCOUNT,edit_account
qué debo hacer para eliminar la cuenta freemium,ACCOUNT,delete_account
estoy intentando averiguar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy
solicitando el reembolso del dinero,REFUND,get_refund
informar sobre problemas de registro,ACCOUNT,registration_problems
editar cuenta tipo_cuenta,ACCOUNT,edit_account
necesito presentar una queja contra su empresa,FEEDBACK,complaint
tengo que actualizar mi dirección de envío,SHIPPING,change_shipping_address
estoy esperando un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund
hay un problema al configurar mi nueva dirección de envío,SHIPPING,set_up_shipping_address
tengo que descargar mis facturas de nombre_persona,INVOICE,get_invoice
intento exigir el reembolso de mi dinero,REFUND,get_refund
puedo chatear con alguien,CONTACT,contact_human_agent
necesito ayuda para ver qué métodos de entrega ofrecen,DELIVERY,delivery_options
muéstrame la factura n 85632,INVOICE,check_invoice
pagué simbolo_moneda monto_reembolso por esta compra tengo que obtener un maldito reembolso,REFUND,get_refund
tengo que ver cuándo puedo esperar mi envío ayúdenme,DELIVERY,delivery_period
quiero ayuda para revisar su política de reembolso,REFUND,check_refund_policy
hay un error al intentar cambiar mi dirección,SHIPPING,change_shipping_address
actualizando la cuenta tipo_cuenta,ACCOUNT,edit_account
quiero ayuda para ganar varios productos,ORDER,place_order
qué debo hacer para suscribirme al boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription
dónde cambiar a la cuenta freemium,ACCOUNT,switch_account
realizan envíos a ciudad_entrega,DELIVERY,delivery_options
ayúdenme a informar sobre un problema con un registro,ACCOUNT,registration_problems
necesito ayuda para abrir una cuenta estándar para mi hija,ACCOUNT,create_account
ayuda para restablecer el pin de mi cuenta de usuario,ACCOUNT,recover_password
puedo consultar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy
no sé cómo puedo realizar una compra,ORDER,place_order
necesito ayuda para cancelar el pedido numero_pedido,ORDER,cancel_order
información correcta en la cuenta pro,ACCOUNT,edit_account
llamo para obtener las facturas de nombre_persona,INVOICE,get_invoice
no puedo recuperar mi clave,ACCOUNT,recover_password
puedes ayudarme a pedir algunos de tus artículos,ORDER,place_order
necesito ayuda para dejar una reseña sobre un servicio,FEEDBACK,review
información correcta sobre goldaccount,ACCOUNT,edit_account
necesito ayuda para eliminar la cuenta platino,ACCOUNT,delete_account
cómo puedo presentar una reclamación contra su empresa,FEEDBACK,complaint
quiero ayuda para saber cuándo puedo esperar mi artículo,DELIVERY,delivery_period
espero un reembolso de monto_reembolso dólares,REFUND,track_refund
quiero reportar problemas con el pago en línea,PAYMENT,payment_issue
podrías ayudarme a averiguar cuándo puedo esperar el paquete,DELIVERY,delivery_period
dónde puedo consultar las modalidades de pago permitidas,PAYMENT,check_payment_methods
actualizando información en la cuenta platino,ACCOUNT,edit_account
podrías ayudarme a hablar con un agente en directo,CONTACT,contact_human_agent
qué debo hacer para cancelar la compra numero_pedido,ORDER,cancel_order
existe algún método para enviar mis comentarios sobre sus productos,FEEDBACK,review
he pagado simbolo_moneda monto_reembolso por un artículo y quiero ayuda para obtener un reembolso,REFUND,get_refund
dónde puedo consultar el horario de atención al cliente,CONTACT,contact_customer_service
alguien robó mi pin de perfil cómo puedo restablecerlo,ACCOUNT,recover_password
me mostrarás cuánto tarda el envío,DELIVERY,delivery_period
es posible informar sobre problemas con los pagos en línea,PAYMENT,payment_issue
dónde puedo consultar cuándo puedo esperar mi producto,DELIVERY,delivery_period
ayuda para notificar un error con registros sangrientos,ACCOUNT,registration_problems
tengo un problema al cancelar la compra numero_pedido,ORDER,cancel_order
cómo puedo ver las opciones de pago,PAYMENT,check_payment_methods
necesito ayuda para adquirir algunos de sus productos,ORDER,place_order
ayúdame a eliminar la cuenta tipo_cuenta,ACCOUNT,delete_account
quiero ayuda para cancelar el pedido numero_pedido,ORDER,cancel_order
por qué no puedo configurar mi dirección de entrega,SHIPPING,set_up_shipping_address
tengo que comprobar cuándo puedo esperar mi paquete,DELIVERY,delivery_period
cómo puedo suscribirme al boletín informativo,SUBSCRIPTION,newsletter_subscription
quiero ayuda para comprobar la penalización por salida anticipada,CANCEL,check_cancellation_fee
necesito ayuda para darme de baja del boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription
necesito ayuda para realizar una compra,ORDER,place_order
puedes ayudarme a recibir el boletín informativo de tu empresa,SUBSCRIPTION,newsletter_subscription
quiero ayuda para ver las opciones de envío,DELIVERY,delivery_options
quiero ayuda para revisar la factura n 12588,INVOICE,check_invoice
puedes ayudarme a cambiar un artículo del pedido numero_pedido,ORDER,change_order
dónde puedo solicitar un reembolso,REFUND,get_refund
no sé cómo descargar las facturas de nombre_persona,INVOICE,get_invoice
información sobre la cancelación de mi cuenta platino,ACCOUNT,delete_account
no sé cómo puedo crear una cuenta platino,ACCOUNT,create_account
cómo puedo informar sobre errores de pago,PAYMENT,payment_issue
quiero ayuda para solicitar indemnizaciones,REFUND,get_refund
no sé qué tengo que hacer para ver mi factura de nombre_persona,INVOICE,check_invoice
problemas al configurar mi nueva dirección de entrega,SHIPPING,set_up_shipping_address
quiero ayuda para descargar mis facturas de nombre_persona,INVOICE,get_invoice
quiero presentar una queja,FEEDBACK,complaint
puedes ayudarme a usar el perfil premium,ACCOUNT,switch_account
quiero saber en qué horario puedo llamar al servicio de atención al cliente,CONTACT,contact_customer_service
no sé qué debo hacer para descargar la factura n 00108,INVOICE,get_invoice
necesito ver la maldita tarifa de cancelación,CANCEL,check_cancellation_fee
tengo que cancelar la compra numero_pedido,ORDER,cancel_order
quiero configurar una nueva dirección de entrega cómo lo hago,SHIPPING,set_up_shipping_address
asistencia para comprar algunos de sus productos,ORDER,place_order
no sé cómo puedo ver la tarifa de cancelación,CANCEL,check_cancellation_fee
muéstrame la factura 12588,INVOICE,check_invoice
necesito enumerar los métodos de pago,PAYMENT,check_payment_methods
puedes mostrarme el estado actual del reembolso,REFUND,track_refund
cómo puedo obtener una compensación por mi dinero,REFUND,get_refund
