instruction,category,intent,source
no sé cómo puedo enumerar las opciones de pago permitidas,PAYMENT,check_payment_methods,original
intento comprobar las exaltidades de terminación,CANCEL,check_cancellation_fee,original
necesito ayuda para comunicarme con el servicio al cliente,CONTACT,contact_customer_service,original
quiero ayuda para escribir un maldito comentario sobre su empresa,FEEDBACK,review,original
no sé cómo cambiar mi dirección,SHIPPING,change_shipping_address,original
puedes ayudarme a darme de baja de tu boletín informativo corporativo,SUBSCRIPTION,newsletter_subscription,original
necesito recibir tu boletín informativo ayúdame,SUBSCRIPTION,newsletter_subscription,original
no puedo hablar con una persona,CONTACT,contact_human_agent,original
abrir una nueva cuenta tipo_cuenta para su hija,ACCOUNT,create_account,original
actualizando la compra numero_pedido,ORDER,change_order,original
quiero ayuda para ver la penalización por retiro,CANCEL,check_cancellation_fee,original
tengo que comprobar la fecha estimada de entrega del pedido 732201349959 necesito ayuda,ORDER,track_order,original
puedes ayudarme a usar el perfil premium,ACCOUNT,switch_account,original
informar sobre problemas de pago,PAYMENT,payment_issue,original
dónde puedo consultar el cargo por salida anticipada,CANCEL,check_cancellation_fee,original
no sé cómo puedo escribir un comentario sobre un producto,FEEDBACK,review,original
consulta en qué casos puedo solicitar la devolución de mi dinero,REFUND,check_refund_policy,original
necesito ayuda para presentar una reclamación de consumidor,FEEDBACK,complaint,original
busque mis facturas de nombre_persona,INVOICE,check_invoice,original
es posible localizar mi factura de nombre_persona,INVOICE,check_invoice,original
ayúdame a crear una nueva cuenta de tipo_cuenta,ACCOUNT,create_account,original
dónde puedo abrir una cuenta gold para mi prometido,ACCOUNT,create_account,original
cómo puedo obtener información sobre la eliminación de una cuenta freemium,ACCOUNT,delete_account,original
estoy intentando enviar algunos comentarios,FEEDBACK,review,original
quiero consultar qué métodos de envío ofreces me puedes ayudar,DELIVERY,delivery_options,original
realizan envíos a ciudad_entrega,DELIVERY,delivery_options,original
realizan envíos a ciudad_entrega,DELIVERY,delivery_options,original
tengo que localizar el pedido numero_pedido podrían ayudarme,ORDER,track_order,original
quiero recibir el boletín informativo de la empresa cómo puedo hacerlo,SUBSCRIPTION,newsletter_subscription,original
podría saber si hay alguna novedad sobre mi indemnización,REFUND,track_refund,original
no sé cómo consultar las opciones de envío que tengo,DELIVERY,delivery_options,original
me puedes ayudar a ver las modalidades de pago aceptadas,PAYMENT,check_payment_methods,original
necesito ayuda para dar un vistazo rápido a la factura n 37777,INVOICE,check_invoice,original
qué tengo que hacer para presentar una maldita queja,FEEDBACK,complaint,original
no sé qué hacer para notificar un problema con el registro,ACCOUNT,registration_problems,original
espero un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund,original
necesito ayuda para cancelar el pedido numero_pedido,ORDER,cancel_order,original
tengo que usar la cuenta tipo_cuenta,ACCOUNT,switch_account,original
necesito ayuda para ver el estado de mi compensación,REFUND,track_refund,original
no puedo ver el estado del pedido numero_pedido,ORDER,track_order,original
necesito ayuda para saber cuándo puedo esperar mi paquete,DELIVERY,delivery_period,original
dónde puedo consultar si hay alguna novedad sobre mi reembolso,REFUND,track_refund,original
ayúdenme a ver en qué caso puedo solicitar los malditos reembolsos,REFUND,check_refund_policy,original
no puedo hablar con un asistente,CONTACT,contact_human_agent,original
no sé qué debo hacer para descargar la factura n 85632,INVOICE,get_invoice,original
dónde puedo consultar el estado de la restitución,REFUND,track_refund,original
quiero corregir la dirección de envío me puedes ayudar,SHIPPING,change_shipping_address,original
es posible recuperar la clave de mi cuenta de usuario,ACCOUNT,recover_password,original
no puedo ver el estado de mi compensación,REFUND,track_refund,original
es posible notificar los problemas de registro,ACCOUNT,registration_problems,original
quiero ayuda para introducir la dirección de envío,SHIPPING,set_up_shipping_address,original
necesito ayuda para comprobar qué métodos de pago se aceptan,PAYMENT,check_payment_methods,original
cómo puedo encontrar mi factura de nombre_persona,INVOICE,check_invoice,original
no sé qué hacer para descargar la factura n 12588,INVOICE,get_invoice,original
estoy buscando los plazos de envío necesito ayuda,DELIVERY,delivery_period,original
tengo que descargar mi maldita factura de nombre_persona,INVOICE,get_invoice,original
tengo problemas para configurar mi dirección de entrega,SHIPPING,set_up_shipping_address,original
tengo que comprobar las modalidades de pago que aceptas,PAYMENT,check_payment_methods,original
espero una compensación de monto_reembolso dólares,REFUND,track_refund,original
tengo que comprobar la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order,original
ayúdenme a reportar un problema con el pago en línea,PAYMENT,payment_issue,original
tengo que contactar con un agente humano,CONTACT,contact_human_agent,original
necesitas ayuda para reportar un error con los pagos en línea,PAYMENT,payment_issue,original
dónde presentar una queja de un cliente contra su empresa,FEEDBACK,complaint,original
necesito ayuda para ver el estado de la compra numero_pedido,ORDER,track_order,original
estoy intentando cancelar mi suscripción al boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription,original
necesito ayuda para notificar problemas con los pagos en línea,PAYMENT,payment_issue,original
cómo consultar la fecha estimada de entrega del pedido numero_pedido,ORDER,track_order,original
puedes ayudarme a recuperar mi código pin,ACCOUNT,recover_password,original
qué debo hacer para restaurar la clave de mi cuenta,ACCOUNT,recover_password,original
cómo puedo saber cuándo puedo esperar mi paquete,DELIVERY,delivery_period,original
dónde puedo ver la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order,original
llamo para dejar algunos comentarios sobre sus servicios,FEEDBACK,review,original
no sé qué hacer para hablar con un asistente,CONTACT,contact_human_agent,original
necesito ayuda para comprobar cuánto tarda el envío de tazkes,DELIVERY,delivery_period,original
dónde puedo ver las opciones de envío que tengo disponibles,DELIVERY,delivery_options,original
qué debo hacer para encontrar mi factura n 00108,INVOICE,check_invoice,original
necesito ayuda para reportar un problema con el pago en línea,PAYMENT,payment_issue,original
necesito ayuda para cambiar a la cuenta estándar,ACCOUNT,switch_account,original
qué debo hacer para cambiar la dirección,SHIPPING,change_shipping_address,original
cómo usar el perfil tipo_cuenta,ACCOUNT,switch_account,original
no sé cómo puedo enviar la dirección de entrega,SHIPPING,set_up_shipping_address,original
ayuda para hablar con un agente humano,CONTACT,contact_human_agent,original
no sé cómo reportar problemas con los pagos en línea,PAYMENT,payment_issue,original
quiero cambiar los datos personales necesito ayuda,ACCOUNT,edit_account,original
estoy intentando dejar mi opinión sobre sus productos,FEEDBACK,review,original
quiero ver la penalización por cancelación ayúdenme,CANCEL,check_cancellation_fee,original
no sé qué debo hacer para consultar la factura n 37777,INVOICE,check_invoice,original
la experiencia con su marca fue mala presente una reclamación,FEEDBACK,complaint,original
estoy intentando informar sobre un problema con los pagos,PAYMENT,payment_issue,original
estoy intentando cancelar una cuenta freemium,ACCOUNT,delete_account,original
quiero ayuda para actualizar la dirección de entrega,SHIPPING,change_shipping_address,original
cómo corrijo mis datos de usuario,ACCOUNT,edit_account,original
quiero ayuda para comprobar los malditos métodos de pago,PAYMENT,check_payment_methods,original
quiero dejar una opinión sobre un servicio,FEEDBACK,review,original
no sé cómo cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account,original
necesito ayuda para restablecer la clave de mi cuenta de usuario,ACCOUNT,recover_password,original
no sé cómo podría recibir un reembolso de dinero,REFUND,get_refund,original
puedes ayudarme a ver los cargos por salida anticipada,CANCEL,check_cancellation_fee,original
quiero ayuda para cancelar la compra numero_pedido,ORDER,cancel_order,original
podrías ayudarme a corregir el pedido numero_pedido,ORDER,change_order,original
presente una queja de un cliente contra su empresa,FEEDBACK,complaint,original
qué debo hacer para eliminar la cuenta tipo_cuenta,ACCOUNT,delete_account,original
dónde puedo cancelar la compra numero_pedido,ORDER,cancel_order,original
necesitas ayuda para abrir una cuenta estándar,ACCOUNT,create_account,original
qué debo hacer para informar sobre problemas con el pago,PAYMENT,payment_issue,original
no sé qué debo hacer para dar seguimiento a la restitución,REFUND,track_refund,original
cómo puedo informar sobre errores en el pago,PAYMENT,payment_issue,original
quiero ayuda para comprobar la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order,original
tengo que corregir la información incluida en mi perfil de usuario,ACCOUNT,edit_account,original
no sé cómo puedo notificar los problemas de registro,ACCOUNT,registration_problems,original
puedo cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account,original
puedo eliminar una cuenta tipo_cuenta,ACCOUNT,delete_account,original
no puedo cambiar a la cuenta estándar,ACCOUNT,switch_account,original
cuándo llegará mi compra,DELIVERY,delivery_period,original
no sé qué debo hacer para cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account,original
dame información sobre los métodos de envío,DELIVERY,delivery_options,original
no sé qué hacer para suscribirme a su boletín informativo,SUBSCRIPTION,newsletter_subscription,original
qué debo hacer para solicitar la devolución de mi dinero,REFUND,get_refund,original
cómo puedo cancelar mi suscripción al boletín informativo,SUBSCRIPTION,newsletter_subscription,original
dónde puedo consultar mi factura n 00108,INVOICE,check_invoice,original
quiero ayuda para hablar con el maldito servicio al cliente,CONTACT,contact_customer_service,original
intento informar sobre problemas con los pagos,PAYMENT,payment_issue,original
necesito ayuda para notificar un error con el pago,PAYMENT,payment_issue,original
trato de enumerar los métodos de pago disponibles,PAYMENT,check_payment_methods,original
necesito ver las opciones de pago aceptadas cómo lo hago,PAYMENT,check_payment_methods,original
cancelar pedido numero_pedido,ORDER,cancel_order,original
necesito ayuda para reportar un problema con un registro,ACCOUNT,registration_problems,original
quiero ayuda para revisar su política de reembolso,REFUND,check_refund_policy,original
puedo hacer un pedido desde ciudad_entrega,DELIVERY,delivery_options,original
no sé cómo podría cambiar a la cuenta premium,ACCOUNT,switch_account,original
tengo problemas para configurar una dirección de entrega secundaria,SHIPPING,set_up_shipping_address,original
es posible consultar la factura n 37777,INVOICE,check_invoice,original
puedes ayudarme a comprobar el cargo por cancelación,CANCEL,check_cancellation_fee,original
me puedes ayudar a configurar mi dirección de entrega secundaria,SHIPPING,set_up_shipping_address,original
necesito ayuda para corregir la dirección,SHIPPING,change_shipping_address,original
ayuda para ganar algo de tu artículo,ORDER,place_order,original
corrección de datos en la cuenta pro,ACCOUNT,edit_account,original
tengo un error al ingresar mi nueva dirección de envío,SHIPPING,set_up_shipping_address,original
no sé qué debo hacer para descargar la factura n 00108,INVOICE,get_invoice,original
intento averiguar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy,original
quiero ayuda para chatear con una persona,CONTACT,contact_human_agent,original
reembolso monto_reembolso dólaresx,REFUND,get_refund,original
tengo que comprar un maldito artículo cómo lo hago,ORDER,place_order,original
cómo puedo ver las opciones de pago disponibles,PAYMENT,check_payment_methods,original
la nueva dirección de entrega no es válida qué debo hacer,SHIPPING,set_up_shipping_address,original
no puedo recuperar la clave de mi perfil de usuario,ACCOUNT,recover_password,original
puedes decirme cómo actualizar mi maldita dirección de envío,SHIPPING,change_shipping_address,original
asistencia para ver las opciones de pago aceptadas,PAYMENT,check_payment_methods,original
tengo problemas al intentar registrarme,ACCOUNT,registration_problems,original
no uso la maldita cuenta gold estoy intentando cerrarla,ACCOUNT,delete_account,original
no sé qué tengo que hacer para ver las opciones de entrega,DELIVERY,delivery_options,original
tengo que reportar problemas con el pago en línea,PAYMENT,payment_issue,original
necesito ayuda para informar de un problema con los pagos en línea,PAYMENT,payment_issue,original
actualizar compra numero_pedido,ORDER,change_order,original
necesito cancelar mi suscripción al boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription,original
no sé qué hacer para solicitar reembolsos,REFUND,get_refund,original
cómo puedo cambiar a la cuenta freemium,ACCOUNT,switch_account,original
quiero informar de un error con un maldito registro,ACCOUNT,registration_problems,original
ver si hay alguna noticia sobre la compensación,REFUND,track_refund,original
necesito ver las opciones de pago disponibles cómo puedo hacerlo,PAYMENT,check_payment_methods,original
informando sobre un problema con el registro,ACCOUNT,registration_problems,original
necesito hablar con un asistente,CONTACT,contact_human_agent,original
cambiar compra numero_pedido,ORDER,change_order,original
me gustaría ver las opciones de entrega necesito ayuda,DELIVERY,delivery_options,original
tengo que localizar el pedido numero_pedido me pueden ayudar,ORDER,track_order,original
podrías ayudarme a informar sobre problemas con el pago,PAYMENT,payment_issue,original
quiero ayuda para cancelar la compra numero_pedido,ORDER,cancel_order,original
necesito ayuda para cancelar la compra numero_pedido,ORDER,cancel_order,original
puedes ayudarme a ver la penalización por cancelación,CANCEL,check_cancellation_fee,original
quiero ver cuánto tarda en llegar el rocío,DELIVERY,delivery_period,original
no sé cómo dejar comentarios sobre su empresa,FEEDBACK,review,original
necesito ayuda para cancelar la compra numero_pedido,ORDER,cancel_order,original
necesito ayuda para contactar con un agente humano,CONTACT,contact_human_agent,original
necesito ayuda para localizar el pedido numero_pedido,ORDER,track_order,original
ayúdame a ver las modalidades de pago aceptadas,PAYMENT,check_payment_methods,original
no sé cómo puedo escribir una opinión sobre un producto,FEEDBACK,review,original
ayuda para comprobar cuánto tarda en llegar mi paquete,DELIVERY,delivery_period,original
tengo que ver en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy,original
puedo ver las modalidades de pago aceptadas,PAYMENT,check_payment_methods,original
dónde puedo cambiarme a la maldita cuenta estándar,ACCOUNT,switch_account,original
dónde puedo darme de baja del boletín informativo de su empresa,SUBSCRIPTION,newsletter_subscription,original
podría indicarme en qué horario puedo llamar al servicio de atención al cliente,CONTACT,contact_customer_service,original
puedo hacer un pedido desde ciudad_entrega,DELIVERY,delivery_options,original
comprobando la fecha estimada de llegada del pedido numero_pedido,ORDER,track_order,original
qué debo hacer para hablar con un agente en directo,CONTACT,contact_human_agent,original
ver el estado actual de mi restitución,REFUND,track_refund,original
quiero ayuda para escribir un comentario sobre un servicio,FEEDBACK,review,original
necesito ayuda para configurar mi dirección de envío secundaria,SHIPPING,set_up_shipping_address,original
informando de problemas con el pago en línea,PAYMENT,payment_issue,original
tengo que hablar con atención al cliente cómo puedo hacerlo,CONTACT,contact_customer_service,original
no sé qué tengo que hacer para cerrar mi cuenta gold,ACCOUNT,delete_account,original
estoy esperando una compensación de monto_reembolso dólares,REFUND,track_refund,original
es posible ver el estado actual de la compra numero_pedido,ORDER,track_order,original
ayúdame a obtener un reembolso,REFUND,get_refund,original
quiero informar sobre errores con el pago en línea puedes ayudarme,PAYMENT,payment_issue,original
cómo puedo consultar el horario de atención al cliente,CONTACT,contact_customer_service,original
necesito saber cuándo puedo esperar mi maldito pedido,DELIVERY,delivery_period,original
cómo puedo cambiar la compra numero_pedido,ORDER,change_order,original
estoy esperando un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund,original
tengo que ver cuánto tarda la entrega necesito ayuda,DELIVERY,delivery_period,original
no sé qué hacer para localizar el pedido numero_pedido,ORDER,track_order,original
necesito presentar una reclamación de cliente cómo lo hago,FEEDBACK,complaint,original
no sé qué hacer para localizar la compra numero_pedido,ORDER,track_order,original
no puedo pagar la compra numero_pedido,ORDER,cancel_order,original
quiero ayuda para agregar algunos productos a la compra numero_pedido,ORDER,change_order,original
necesitas ayuda para cambiar a la cuenta premium,ACCOUNT,switch_account,original
ayuda para cancelar la suscripción a su boletín informativo corporativo,SUBSCRIPTION,newsletter_subscription,original
espero una compensación de simbolo_moneda monto_reembolso,REFUND,track_refund,original
dónde cancelar la compra numero_pedido,ORDER,cancel_order,original
puedes ayudarme a encontrar las facturas de nombre_persona,INVOICE,check_invoice,original
tengo que enviar mi nueva dirección de envío,SHIPPING,set_up_shipping_address,original
ver factura n 37777,INVOICE,check_invoice,original
muéstrame la penalización por salida anticipada,CANCEL,check_cancellation_fee,original
no sé qué tengo que hacer para localizar la factura n 00108,INVOICE,check_invoice,original
asistencia para presentar una queja de un cliente contra su empresa,FEEDBACK,complaint,original
necesito dejar un comentario sobre sus servicios cómo puedo hacerlo,FEEDBACK,review,original
no sé cómo introducir la dirección de envío,SHIPPING,set_up_shipping_address,original
dirección de corrección de problemas,SHIPPING,change_shipping_address,original
cambiar pedido numero_pedido,ORDER,change_order,original
qué debo hacer para informar de un problema de registro,ACCOUNT,registration_problems,original
quiero ayuda para presentar una reclamación contra su empresa,FEEDBACK,complaint,original
tengo problemas para crear mi cuenta tipo_cuenta,ACCOUNT,create_account,original
estoy intentando averiguar los plazos de envío me puedes ayudar,DELIVERY,delivery_period,original
puedo cancelar la maldita suscripción a su boletín informativo,SUBSCRIPTION,newsletter_subscription,original
la dirección de envío secundaria no es válida ayúdenme,SHIPPING,set_up_shipping_address,original
necesito saber si hay alguna noticia sobre el reembolso ayúdenme,REFUND,track_refund,original
no sé qué hacer para descargar la factura n 37777,INVOICE,get_invoice,original
cómo puedo comunicarme con el servicio al cliente,CONTACT,contact_customer_service,original
puedes ayudarme a editar mi dirección,SHIPPING,change_shipping_address,original
quiero restablecer la maldita clave de mi usuario me ayudarás,ACCOUNT,recover_password,original
me gustaría consultar su política de reembolsos cómo puedo hacerlo,REFUND,check_refund_policy,original
cómo puedo comprobar si hay alguna novedad sobre la restitución,REFUND,track_refund,original
quiero consultar el estado de mi reembolso necesito ayuda,REFUND,track_refund,original
no sé qué hacer para hablar con atención al cliente,CONTACT,contact_customer_service,original
podría ayudarme a presentar una reclamación contra su empresa,FEEDBACK,complaint,original
cómo puedo consultar los métodos de envío disponibles,DELIVERY,delivery_options,original
no sé cómo podría eliminar la cuenta platino,ACCOUNT,delete_account,original
asistencia para exigir un reembolso,REFUND,get_refund,original
no sé qué debo hacer para presentar una reclamación de cliente,FEEDBACK,complaint,original
tengo un problema al ingresar mi nueva dirección de entrega,SHIPPING,set_up_shipping_address,original
ayúdame a dejar una opinión sobre tus productos,FEEDBACK,review,original
no sé cómo localizar la factura n 85632,INVOICE,check_invoice,original
informar sobre problemas con los pagos,PAYMENT,payment_issue,original
tengo una pregunta sobre la eliminación de mi cuenta tipo_cuenta,ACCOUNT,delete_account,original
no sé cómo podría eliminar la maldita cuenta tipo_cuenta,ACCOUNT,delete_account,original
no sé qué hacer para comprobar el estado de la restitución,REFUND,track_refund,original
necesito darme de baja del boletín informativo,SUBSCRIPTION,newsletter_subscription,original
estoy intentando averiguar cuándo llegará mi compra,DELIVERY,delivery_period,original
podrías informarme sobre cómo actualizar la dirección de envío,SHIPPING,change_shipping_address,original
no sé cómo obtener un reembolso de mi dinero,REFUND,get_refund,original
asistencia para consultar la fecha estimada de entrega del pedido numero_pedido,ORDER,track_order,original
es posible solicitar un reembolso de mi dinero,REFUND,get_refund,original
quiero ayuda para adquirir varios de sus productos,ORDER,place_order,original
sería posible proporcionar una dirección de entrega diferente,SHIPPING,set_up_shipping_address,original
cambiando la información de la cuenta tipo_cuenta,ACCOUNT,edit_account,original
es posible realizar un pedido desde ciudad_entrega,DELIVERY,delivery_options,original
dónde puedo recuperar la contraseña de mi perfil,ACCOUNT,recover_password,original
hay un problema al configurar la dirección de envío,SHIPPING,set_up_shipping_address,original
me gustaría saber cómo cambiar mi dirección de entrega,SHIPPING,change_shipping_address,original
tengo un problema al cancelar la compra numero_pedido,ORDER,cancel_order,original
ayuda para saber si hay alguna novedad sobre la restitución,REFUND,track_refund,original
podrías ayudarme a configurar la nueva dirección de envío,SHIPPING,set_up_shipping_address,original
necesito ingresar una dirección de envío diferente,SHIPPING,set_up_shipping_address,original
qué debo hacer para que aparezcan en la lista de métodos de pago aceptados,PAYMENT,check_payment_methods,original
necesito ayuda para hablar con el servicio de atención al cliente,CONTACT,contact_customer_service,original
tengo que hablar con atención al cliente para saber cómo hacerlo,CONTACT,contact_customer_service,original
quiero ayuda para ganar algunos artículos,ORDER,place_order,original
qué tengo que hacer para chatear con alguien,CONTACT,contact_human_agent,original
no sé qué debo hacer para recuperar mi pin de cuenta,ACCOUNT,recover_password,original
puedo consultar sus métodos de pago disponibles,PAYMENT,check_payment_methods,original
tengo que suscribirme a su boletín informativo corporativo necesito ayuda,SUBSCRIPTION,newsletter_subscription,original
informar de un problema con el pago,PAYMENT,payment_issue,original
no sé cómo escribir un comentario sobre sus servicios,FEEDBACK,review,original
me gustaría enviar la dirección de entrega,SHIPPING,set_up_shipping_address,original
mostrándome la fecha estimada de compra numero_pedido,ORDER,track_order,original
necesito ayuda para solicitar un reembolso,REFUND,get_refund,original
necesito descargar la factura n 00108 cómo lo hago,INVOICE,get_invoice,original
envío a ciudad_entrega,DELIVERY,delivery_options,original
no sé cómo hacer el seguimiento de mi indemnización,REFUND,track_refund,original
necesito ayuda para informar sobre problemas con los pagos,PAYMENT,payment_issue,original
no sé cómo informar sobre problemas de pago,PAYMENT,payment_issue,original
busque mi factura de nombre_persona,INVOICE,check_invoice,original
podrían ayudarme a presentar una reclamación contra su organización,FEEDBACK,complaint,original
cómo enviar comentarios sobre sus productos,FEEDBACK,review,original
errores al configurar una maldita dirección de entrega,SHIPPING,set_up_shipping_address,original
tengo un reembolso de simbolo_moneda monto_reembolso por un pedido necesito obtener un reembolso,REFUND,get_refund,original
quiero enumerar las opciones de pago permitidas necesito ayuda,PAYMENT,check_payment_methods,original
tengo que comprobar cuándo llegará mi artículo,DELIVERY,delivery_period,original
no sé qué tengo que hacer para cambiar a la cuenta pro,ACCOUNT,switch_account,original
no sé cómo puedo ver tus métodos de pago,PAYMENT,check_payment_methods,original
editar la cuenta tipo_cuenta,ACCOUNT,edit_account,original
qué debo hacer para eliminar la cuenta freemium,ACCOUNT,delete_account,original
estoy intentando averiguar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy,original
solicitando el reembolso del dinero,REFUND,get_refund,original
informar sobre problemas de registro,ACCOUNT,registration_problems,original
editar cuenta tipo_cuenta,ACCOUNT,edit_account,original
necesito presentar una queja contra su empresa,FEEDBACK,complaint,original
tengo que actualizar mi dirección de envío,SHIPPING,change_shipping_address,original
estoy esperando un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund,original
hay un problema al configurar mi nueva dirección de envío,SHIPPING,set_up_shipping_address,original
tengo que descargar mis facturas de nombre_persona,INVOICE,get_invoice,original
intento exigir el reembolso de mi dinero,REFUND,get_refund,original
puedo chatear con alguien,CONTACT,contact_human_agent,original
necesito ayuda para ver qué métodos de entrega ofrecen,DELIVERY,delivery_options,original
muéstrame la factura n 85632,INVOICE,check_invoice,original
pagué simbolo_moneda monto_reembolso por esta compra tengo que obtener un maldito reembolso,REFUND,get_refund,original
tengo que ver cuándo puedo esperar mi envío ayúdenme,DELIVERY,delivery_period,original
quiero ayuda para revisar su política de reembolso,REFUND,check_refund_policy,original
hay un error al intentar cambiar mi dirección,SHIPPING,change_shipping_address,original
actualizando la cuenta tipo_cuenta,ACCOUNT,edit_account,original
quiero ayuda para ganar varios productos,ORDER,place_order,original
qué debo hacer para suscribirme al boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription,original
dónde cambiar a la cuenta freemium,ACCOUNT,switch_account,original
realizan envíos a ciudad_entrega,DELIVERY,delivery_options,original
ayúdenme a informar sobre un problema con un registro,ACCOUNT,registration_problems,original
necesito ayuda para abrir una cuenta estándar para mi hija,ACCOUNT,create_account,original
ayuda para restablecer el pin de mi cuenta de usuario,ACCOUNT,recover_password,original
puedo consultar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy,original
no sé cómo puedo realizar una compra,ORDER,place_order,original
necesito ayuda para cancelar el pedido numero_pedido,ORDER,cancel_order,original
información correcta en la cuenta pro,ACCOUNT,edit_account,original
llamo para obtener las facturas de nombre_persona,INVOICE,get_invoice,original
no puedo recuperar mi clave,ACCOUNT,recover_password,original
puedes ayudarme a pedir algunos de tus artículos,ORDER,place_order,original
necesito ayuda para dejar una reseña sobre un servicio,FEEDBACK,review,original
información correcta sobre goldaccount,ACCOUNT,edit_account,original
necesito ayuda para eliminar la cuenta platino,ACCOUNT,delete_account,original
cómo puedo presentar una reclamación contra su empresa,FEEDBACK,complaint,original
quiero ayuda para saber cuándo puedo esperar mi artículo,DELIVERY,delivery_period,original
espero un reembolso de monto_reembolso dólares,REFUND,track_refund,original
quiero reportar problemas con el pago en línea,PAYMENT,payment_issue,original
podrías ayudarme a averiguar cuándo puedo esperar el paquete,DELIVERY,delivery_period,original
dónde puedo consultar las modalidades de pago permitidas,PAYMENT,check_payment_methods,original
actualizando información en la cuenta platino,ACCOUNT,edit_account,original
podrías ayudarme a hablar con un agente en directo,CONTACT,contact_human_agent,original
qué debo hacer para cancelar la compra numero_pedido,ORDER,cancel_order,original
existe algún método para enviar mis comentarios sobre sus productos,FEEDBACK,review,original
he pagado simbolo_moneda monto_reembolso por un artículo y quiero ayuda para obtener un reembolso,REFUND,get_refund,original
dónde puedo consultar el horario de atención al cliente,CONTACT,contact_customer_service,original
alguien robó mi pin de perfil cómo puedo restablecerlo,ACCOUNT,recover_password,original
me mostrarás cuánto tarda el envío,DELIVERY,delivery_period,original
es posible informar sobre problemas con los pagos en línea,PAYMENT,payment_issue,original
dónde puedo consultar cuándo puedo esperar mi producto,DELIVERY,delivery_period,original
ayuda para notificar un error con registros sangrientos,ACCOUNT,registration_problems,original
tengo un problema al cancelar la compra numero_pedido,ORDER,cancel_order,original
cómo puedo ver las opciones de pago,PAYMENT,check_payment_methods,original
necesito ayuda para adquirir algunos de sus productos,ORDER,place_order,original
ayúdame a eliminar la cuenta tipo_cuenta,ACCOUNT,delete_account,original
quiero ayuda para cancelar el pedido numero_pedido,ORDER,cancel_order,original
por qué no puedo configurar mi dirección de entrega,SHIPPING,set_up_shipping_address,original
tengo que comprobar cuándo puedo esperar mi paquete,DELIVERY,delivery_period,original
cómo puedo suscribirme al boletín informativo,SUBSCRIPTION,newsletter_subscription,original
quiero ayuda para comprobar la penalización por salida anticipada,CANCEL,check_cancellation_fee,original
necesito ayuda para darme de baja del boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription,original
necesito ayuda para realizar una compra,ORDER,place_order,original
puedes ayudarme a recibir el boletín informativo de tu empresa,SUBSCRIPTION,newsletter_subscription,original
quiero ayuda para ver las opciones de envío,DELIVERY,delivery_options,original
