intent,nombre,categoria_amigable,prioridad,area_responsable,recomendacion
create_account,Crear cuenta,Cuentas de usuario,Baja,Gestión de cuentas,"Orientar al cliente en el proceso de creación de cuenta, indicando los datos requeridos y los pasos de validación. Si el cliente presenta dificultades, revisar posibles errores en el formulario, correo electrónico, contraseña o verificación de identidad. Confirmar la creación exitosa o explicar los pasos pendientes."
delete_account,Eliminar cuenta,Cuentas de usuario,Alta,Gestión de cuentas / Seguridad,"Validar la identidad del cliente antes de iniciar cualquier proceso de eliminación de cuenta. Explicar las consecuencias de la eliminación, como pérdida de historial, datos asociados o acceso a servicios. Confirmar explícitamente la solicitud y, si aplica, ofrecer alternativas como desactivación temporal o actualización de preferencias."
delivery_options,Consultar opciones de entrega,Envíos y logística,Baja,Logística y envíos,"Informar las opciones de entrega disponibles para la ubicación del cliente, incluyendo envío estándar, express, recogida en punto físico u otras modalidades. Indicar tiempos estimados, costos aproximados y restricciones de cobertura. Si el cliente proporciona una ciudad o dirección, validar disponibilidad antes de confirmar."
delivery_period,Consultar tiempo de entrega,Envíos y logística,Media,Logística y envíos,"Consultar el tiempo estimado de entrega según el pedido, ubicación, método de envío y estado logístico. Informar al cliente una fecha aproximada y aclarar si existen posibles retrasos. Si el pedido supera el tiempo prometido, escalar el caso para seguimiento con el operador logístico."
edit_account,Editar datos de cuenta,Cuentas de usuario,Media,Gestión de cuentas,"Orientar al cliente en la actualización de sus datos personales, como nombre, correo, teléfono o información de perfil. Validar si el cambio requiere verificación adicional por seguridad. Confirmar que la modificación se haya aplicado correctamente y recomendar revisar la información antes de guardar cambios."
get_invoice,Solicitar factura,Facturación,Media,Facturación,"Generar, reenviar o facilitar la factura solicitada por el cliente, verificando que los datos de compra y facturación sean correctos. Si la factura no existe o presenta inconsistencias, abrir un caso de revisión con el área de facturación. Informar al cliente el canal y el tiempo estimado para recibir el documento."
get_refund,Solicitar reembolso,Reembolsos,Alta,Pagos y facturación,"Validar la compra, el motivo de la solicitud y el cumplimiento de las condiciones de reembolso. Revisar si el producto fue devuelto, si hubo cobro indebido o si el servicio no fue prestado correctamente. Abrir un caso de reembolso, informar los tiempos estimados y hacer seguimiento hasta confirmar la devolución o la respuesta final."
newsletter_subscription,Gestionar suscripción a boletín,Comunicaciones,Baja,Comunicaciones / Marketing,"Gestionar la suscripción, actualización o cancelación del boletín informativo según la solicitud del cliente. Confirmar el correo asociado y respetar las preferencias de comunicación. Si el cliente solicita dejar de recibir mensajes, aplicar la baja y confirmar que no recibirá nuevas comunicaciones promocionales."
payment_issue,Problema de pago,Pagos,Alta,Pagos y facturación,"Escalar el caso al área de pagos para verificar la transacción reportada, el método utilizado y el estado del cobro. Revisar si hubo pago rechazado, doble cobro, error de validación o transacción pendiente. Informar al cliente los pasos de solución y solicitar comprobantes si son necesarios para acelerar la revisión."
place_order,Realizar pedido,Pedidos,Media,Ventas / Gestión de pedidos,"Orientar al cliente en el proceso para realizar un pedido, seleccionando productos, dirección, método de pago y opción de entrega. Si el cliente presenta dificultades durante la compra, identificar el paso donde ocurre el problema y brindar apoyo para completarla correctamente."
recover_password,Recuperar contraseña,Cuentas de usuario,Media,Soporte técnico,"Enviar al cliente las instrucciones para restablecer su contraseña mediante el canal oficial. Validar que el correo o usuario asociado sea correcto y recomendar crear una contraseña segura. Si el cliente no recibe el enlace de recuperación, revisar carpeta de spam, correo registrado o posibles bloqueos de cuenta."
registration_problems,Problemas de registro,Cuentas de usuario,Media,Soporte técnico / Gestión de cuentas,"Revisar el error que impide completar el registro, como datos inválidos, correo ya utilizado, contraseña no aceptada o falla en la verificación. Solicitar al cliente el mensaje de error si es necesario y guiarlo paso a paso hasta completar el registro o escalar el caso técnico."
review,Reseña u opinión del cliente,Experiencia del cliente,Baja,Experiencia del cliente / Calidad,"Registrar la opinión del cliente como insumo para análisis de satisfacción y mejora continua. Si la reseña es positiva, agradecer y conservarla como retroalimentación. Si contiene inconformidad, identificar el motivo principal y derivarla al área correspondiente para evitar que se convierta en un reclamo formal."
set_up_shipping_address,Configurar dirección de envío,Envíos y logística,Media,Logística y envíos / Gestión de cuentas,"Ayudar al cliente a registrar o configurar correctamente su dirección de envío. Validar campos obligatorios como ciudad, dirección, código postal, teléfono y referencias de entrega. Confirmar que la dirección quedó guardada y disponible para futuros pedidos."
switch_account,Cambiar tipo de cuenta,Cuentas de usuario,Media,Gestión de cuentas,"Validar el tipo de cuenta actual y el tipo de cuenta solicitado por el cliente. Explicar los cambios en permisos, beneficios, restricciones o condiciones del nuevo tipo de cuenta. Si el cambio afecta facturación, acceso o historial, informar al cliente antes de confirmar la modificación."
track_order,Rastrear pedido,Envíos y logística,Media,Logística y envíos,"Consultar el estado actual del pedido y entregar al cliente la información de seguimiento disponible. Informar si el pedido está confirmado, en preparación, enviado, en tránsito o entregado. Si no hay actualización reciente o existe retraso, escalar el caso para revisión logística."
track_refund,Rastrear reembolso,Reembolsos,Alta,Pagos y facturación,"Consultar el estado actual del reembolso solicitado y verificar si se encuentra pendiente, aprobado, rechazado o procesado. Informar al cliente el tiempo estimado de devolución según el método de pago. Si el plazo ya fue superado, escalar el caso para revisión prioritaria con el área financiera."
payment_dispute,Disputa de pago,Pagos,Alta,Pagos y facturación,"Investigar transacciones en disputa, solicitar comprobantes y coordinar con el área financiera para resolver cargos erróneos o controversias."
subscription_cancel,Cancelar suscripción,Subscripciones,Media,Comunicaciones / Suscripciones,"Gestionar la cancelación de suscripciones recurrentes y confirmar condiciones de facturación y acceso futuro."
subscription_upgrade,Actualizar suscripción,Subscripciones,Media,Comunicaciones / Suscripciones,"Asesorar sobre planes superiores, verificar elegibilidad y aplicar el cambio de plan o facturación correspondiente."
shipping_delay,Retraso en envío,Envíos y logística,Media,Logística y envíos,"Detectar retrasos en la cadena logística, informar tiempos estimados actualizados y escalar casos críticos."
technical_login_issue,Incidencia de acceso,Soporte técnico,Alta,Soporte técnico,"Problemas relacionados con inicio de sesión, bloqueos de cuenta o errores técnicos que impiden el acceso; escalar si requiere intervención técnica."
gift_card_issue,Problema con tarjeta de regalo,Pagos,Media,Atención al cliente / Pagos,"Validar el estado de la tarjeta de regalo o código promocional y solucionar incidencias de saldo, aplicación o caducidad."
order_return_request,Solicitud de devolución,Reembolsos,Alta,Logística y reembolsos,"Registrar solicitudes de devolución, indicar el proceso, plazos y condiciones, y coordinar la logística de la devolución."
wrong_item_received,Producto incorrecto recibido,Pedidos,Alta,Logística y pedidos,"Validar el pedido original, registrar la incidencia y coordinar reposición, devolución o reenvío cuando el cliente recibió un producto distinto al solicitado."
damaged_item,Producto dañado,Pedidos,Alta,Logística y calidad,"Revisar evidencias del daño, validar el estado del pedido y gestionar reemplazo, devolución o reembolso según la política vigente."
delivery_not_received,Pedido no recibido,Envíos y logística,Alta,Logística y envíos,"Verificar el estado del envío, confirmar si existe entrega registrada y escalar la investigación cuando el cliente no recibió el pedido."
exchange_request,Solicitud de cambio de producto,Devoluciones,Media,Logística y reembolsos,"Registrar la solicitud de cambio, validar condiciones de devolución y coordinar el intercambio por otro producto o talla disponible."
