intent,nombre,categoria_amigable,descripcion_corta,example_1,example_2,example_3
create_account,Crear cuenta,Cuentas de usuario,"Orientar al cliente en el proceso de creación de cuenta, indicando los datos requeridos y los pasos de validación. Si el cliente presenta dificultades, revisar posibles errores en el formulario, corre",Quiero crear cuenta,Necesito ayuda con crear cuenta,¿Cómo puedo crear cuenta?
delete_account,Eliminar cuenta,Cuentas de usuario,"Validar la identidad del cliente antes de iniciar cualquier proceso de eliminación de cuenta. Explicar las consecuencias de la eliminación, como pérdida de historial, datos asociados o acceso a servic",Quiero eliminar cuenta,Necesito ayuda con eliminar cuenta,¿Cómo puedo eliminar cuenta?
delivery_options,Consultar opciones de entrega,Envíos y logística,"Informar las opciones de entrega disponibles para la ubicación del cliente, incluyendo envío estándar, express, recogida en punto físico u otras modalidades. Indicar tiempos estimados, costos aproxima",Quiero consultar opciones de entrega,Necesito ayuda con consultar opciones de entrega,¿Cómo puedo consultar opciones de entrega?
delivery_period,Consultar tiempo de entrega,Envíos y logística,"Consultar el tiempo estimado de entrega según el pedido, ubicación, método de envío y estado logístico. Informar al cliente una fecha aproximada y aclarar si existen posibles retrasos. Si el pedido su",Quiero consultar tiempo de entrega,Necesito ayuda con consultar tiempo de entrega,¿Cómo puedo consultar tiempo de entrega?
edit_account,Editar datos de cuenta,Cuentas de usuario,"Orientar al cliente en la actualización de sus datos personales, como nombre, correo, teléfono o información de perfil. Validar si el cambio requiere verificación adicional por seguridad. Confirmar qu",Quiero editar datos de cuenta,Necesito ayuda con editar datos de cuenta,¿Cómo puedo editar datos de cuenta?
get_invoice,Solicitar factura,Facturación,"Generar, reenviar o facilitar la factura solicitada por el cliente, verificando que los datos de compra y facturación sean correctos. Si la factura no existe o presenta inconsistencias, abrir un caso ",Quiero solicitar factura,Necesito ayuda con solicitar factura,¿Cómo puedo solicitar factura?
get_refund,Solicitar reembolso,Reembolsos,"Validar la compra, el motivo de la solicitud y el cumplimiento de las condiciones de reembolso. Revisar si el producto fue devuelto, si hubo cobro indebido o si el servicio no fue prestado correctamen",Quiero solicitar reembolso,Necesito ayuda con solicitar reembolso,¿Cómo puedo solicitar reembolso?
newsletter_subscription,Gestionar suscripción a boletín,Comunicaciones,"Gestionar la suscripción, actualización o cancelación del boletín informativo según la solicitud del cliente. Confirmar el correo asociado y respetar las preferencias de comunicación. Si el cliente so",Quiero gestionar suscripción a boletín,Necesito ayuda con gestionar suscripción a boletín,¿Cómo puedo gestionar suscripción a boletín?
payment_issue,Problema de pago,Pagos,"Escalar el caso al área de pagos para verificar la transacción reportada, el método utilizado y el estado del cobro. Revisar si hubo pago rechazado, doble cobro, error de validación o transacción pend",Quiero problema de pago,Necesito ayuda con problema de pago,¿Cómo puedo problema de pago?
place_order,Realizar pedido,Pedidos,"Orientar al cliente en el proceso para realizar un pedido, seleccionando productos, dirección, método de pago y opción de entrega. Si el cliente presenta dificultades durante la compra, identificar el",Quiero realizar pedido,Necesito ayuda con realizar pedido,¿Cómo puedo realizar pedido?
recover_password,Recuperar contraseña,Cuentas de usuario,Enviar al cliente las instrucciones para restablecer su contraseña mediante el canal oficial. Validar que el correo o usuario asociado sea correcto y recomendar crear una contraseña segura. Si el clie,Quiero recuperar contraseña,Necesito ayuda con recuperar contraseña,¿Cómo puedo recuperar contraseña?
registration_problems,Problemas de registro,Cuentas de usuario,"Revisar el error que impide completar el registro, como datos inválidos, correo ya utilizado, contraseña no aceptada o falla en la verificación. Solicitar al cliente el mensaje de error si es necesari",Quiero problemas de registro,Necesito ayuda con problemas de registro,¿Cómo puedo problemas de registro?
review,Reseña u opinión del cliente,Experiencia del cliente,"Registrar la opinión del cliente como insumo para análisis de satisfacción y mejora continua. Si la reseña es positiva, agradecer y conservarla como retroalimentación. Si contiene inconformidad, ident",Quiero reseña u opinión del cliente,Necesito ayuda con reseña u opinión del cliente,¿Cómo puedo reseña u opinión del cliente?
set_up_shipping_address,Configurar dirección de envío,Envíos y logística,"Ayudar al cliente a registrar o configurar correctamente su dirección de envío. Validar campos obligatorios como ciudad, dirección, código postal, teléfono y referencias de entrega. Confirmar que la d",Quiero configurar dirección de envío,Necesito ayuda con configurar dirección de envío,¿Cómo puedo configurar dirección de envío?
switch_account,Cambiar tipo de cuenta,Cuentas de usuario,"Validar el tipo de cuenta actual y el tipo de cuenta solicitado por el cliente. Explicar los cambios en permisos, beneficios, restricciones o condiciones del nuevo tipo de cuenta. Si el cambio afecta ",Quiero cambiar tipo de cuenta,Necesito ayuda con cambiar tipo de cuenta,¿Cómo puedo cambiar tipo de cuenta?
track_order,Rastrear pedido,Envíos y logística,"Consultar el estado actual del pedido y entregar al cliente la información de seguimiento disponible. Informar si el pedido está confirmado, en preparación, enviado, en tránsito o entregado. Si no hay",Quiero rastrear pedido,Necesito ayuda con rastrear pedido,¿Cómo puedo rastrear pedido?
track_refund,Rastrear reembolso,Reembolsos,"Consultar el estado actual del reembolso solicitado y verificar si se encuentra pendiente, aprobado, rechazado o procesado. Informar al cliente el tiempo estimado de devolución según el método de pago",Quiero rastrear reembolso,Necesito ayuda con rastrear reembolso,¿Cómo puedo rastrear reembolso?
payment_dispute,Disputa de pago,Pagos,"Investigar transacciones en disputa, solicitar comprobantes y coordinar con el área financiera para resolver cargos erróneos o controversias.",Quiero disputa de pago,Necesito ayuda con disputa de pago,¿Cómo puedo disputa de pago?
subscription_cancel,Cancelar suscripción,Subscripciones,Gestionar la cancelación de suscripciones recurrentes y confirmar condiciones de facturación y acceso futuro.,Quiero cancelar suscripción,Necesito ayuda con cancelar suscripción,¿Cómo puedo cancelar suscripción?
subscription_upgrade,Actualizar suscripción,Subscripciones,"Asesorar sobre planes superiores, verificar elegibilidad y aplicar el cambio de plan o facturación correspondiente.",Quiero actualizar suscripción,Necesito ayuda con actualizar suscripción,¿Cómo puedo actualizar suscripción?
shipping_delay,Retraso en envío,Envíos y logística,"Detectar retrasos en la cadena logística, informar tiempos estimados actualizados y escalar casos críticos.",Quiero retraso en envío,Necesito ayuda con retraso en envío,¿Cómo puedo retraso en envío?
technical_login_issue,Incidencia de acceso,Soporte técnico,"Problemas relacionados con inicio de sesión, bloqueos de cuenta o errores técnicos que impiden el acceso; escalar si requiere intervención técnica.",Quiero incidencia de acceso,Necesito ayuda con incidencia de acceso,¿Cómo puedo incidencia de acceso?
gift_card_issue,Problema con tarjeta de regalo,Pagos,"Validar el estado de la tarjeta de regalo o código promocional y solucionar incidencias de saldo, aplicación o caducidad.",Quiero problema con tarjeta de regalo,Necesito ayuda con problema con tarjeta de regalo,¿Cómo puedo problema con tarjeta de regalo?
order_return_request,Solicitud de devolución,Reembolsos,"Registrar solicitudes de devolución, indicar el proceso, plazos y condiciones, y coordinar la logística de la devolución.",Quiero solicitud de devolución,Necesito ayuda con solicitud de devolución,¿Cómo puedo solicitud de devolución?
wrong_item_received,Producto incorrecto recibido,Pedidos,"Validar el pedido original, registrar la incidencia y coordinar reposición, devolución o reenvío cuando el cliente recibió un producto distinto al solicitado.",Quiero producto incorrecto recibido,Necesito ayuda con producto incorrecto recibido,¿Cómo puedo producto incorrecto recibido?
damaged_item,Producto dañado,Pedidos,"Revisar evidencias del daño, validar el estado del pedido y gestionar reemplazo, devolución o reembolso según la política vigente.",Quiero producto dañado,Necesito ayuda con producto dañado,¿Cómo puedo producto dañado?
delivery_not_received,Pedido no recibido,Envíos y logística,"Verificar el estado del envío, confirmar si existe entrega registrada y escalar la investigación cuando el cliente no recibió el pedido.",Quiero pedido no recibido,Necesito ayuda con pedido no recibido,¿Cómo puedo pedido no recibido?
exchange_request,Solicitud de cambio de producto,Devoluciones,"Registrar la solicitud de cambio, validar condiciones de devolución y coordinar el intercambio por otro producto o talla disponible.",Quiero solicitud de cambio de producto,Necesito ayuda con solicitud de cambio de producto,¿Cómo puedo solicitud de cambio de producto?
