instruction,category,intent,instruction_es
i do not know what i need to do to get the invoice #00108,INVOICE,get_invoice,No sé qué debo hacer para obtener la factura n.° 00108.
I expect a fucking compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,Espero una maldita compensación de {{Currency Symbol}}{{Refund Amount}}
I cannot talk to a person,CONTACT,contact_human_agent,No puedo hablar con una persona
I try to leave a bloody review for a product,FEEDBACK,review,Intento dejar una reseña de un producto.
I want help to submit feedback for your products,FEEDBACK,review,Quiero ayuda para enviar comentarios sobre sus productos.
I do not know how I can list the allowed payment options,PAYMENT,check_payment_methods,No sé cómo puedo enumerar las opciones de pago permitidas.
i try to check the termination epnalties,CANCEL,check_cancellation_fee,intento comprobar las exaltidades de terminación
I need help talking with customer service,CONTACT,contact_customer_service,Necesito ayuda para comunicarme con el servicio al cliente.
I want help writing a fucking comment about your company,FEEDBACK,review,Quiero ayuda para escribir un maldito comentario sobre su empresa.
i dont know how  to change my address,SHIPPING,change_shipping_address,No sé cómo cambiar mi dirección
can uhelp me to unsubscribe to ur corporate newsetter,SUBSCRIPTION,newsletter_subscription,¿Puedes ayudarme a darme de baja de tu boletín informativo corporativo?
"I need to receive your newsletter, help me",SUBSCRIPTION,newsletter_subscription,"Necesito recibir tu boletín informativo, ayúdame."
I can't talk with a person,CONTACT,contact_human_agent,No puedo hablar con una persona
open new {{Account Type}} account for daughter,ACCOUNT,create_account,Abrir una nueva cuenta {{Account Type}} para su hija.
updating purchase {{Order Number}},ORDER,change_order,Actualizando la compra {{Número de pedido}}
I want help to see the withdrawal penalty,CANCEL,check_cancellation_fee,Quiero ayuda para ver la penalización por retiro.
i have to check the ETA of order732201349959 i need help,ORDER,track_order,Tengo que comprobar la fecha estimada de entrega del pedido 732201349959. Necesito ayuda.
can you help me to use the premium profile?,ACCOUNT,switch_account,¿Puedes ayudarme a usar el perfil premium?
reporting payment issues,PAYMENT,payment_issue,Informar sobre problemas de pago
where do I check the early exit charge?,CANCEL,check_cancellation_fee,¿Dónde puedo consultar el cargo por salida anticipada?
I don't know how I can write a comment for  a product,FEEDBACK,review,No sé cómo puedo escribir un comentario sobre un producto.
see in which cases can I request my money back,REFUND,check_refund_policy,Consulta en qué casos puedo solicitar la devolución de mi dinero.
I need help to file a consumer reclamation,FEEDBACK,complaint,Necesito ayuda para presentar una reclamación de consumidor.
look for my invoices from {{Person Name}},INVOICE,check_invoice,Busque mis facturas de {{Nombre de la persona}}
is it plssible to locate my invoice from {{Person Name}},INVOICE,check_invoice,¿Es posible localizar mi factura de {{Nombre de la persona}}?
help me create a new fucking {{Account Category}} account,ACCOUNT,create_account,Ayúdame a crear una nueva cuenta de {{Categoría de cuenta}}
where do i open a gold account for my fiance,ACCOUNT,create_account,¿Dónde puedo abrir una cuenta Gold para mi prometido?
how can i get information about a freemium account deletion,ACCOUNT,delete_account,¿Cómo puedo obtener información sobre la eliminación de una cuenta freemium?
I'm trying to send soem feedback,FEEDBACK,review,Estoy intentando enviar algunos comentarios.
wanna check what shipping methods uoffer can uhelp me,DELIVERY,delivery_options,"Quiero consultar qué métodos de envío ofreces, ¿me puedes ayudar?"
do you ship to {{Delivery City}}?,DELIVERY,delivery_options,¿Realizan envíos a {{Delivery City}}?
do ya deliver to {{Delivery Country}},DELIVERY,delivery_options,¿Realizan envíos a {{País de entrega}}?
"I have to locate order {{Order Number}}, could I get some help?",ORDER,track_order,"Tengo que localizar el pedido {{Número de pedido}}, ¿podrían ayudarme?"
"I want to receive the company newsletter, how to do it?",SUBSCRIPTION,newsletter_subscription,"Quiero recibir el boletín informativo de la empresa, ¿cómo puedo hacerlo?"
could I know if there is anything new on my compensation?,REFUND,track_refund,¿Podría saber si hay alguna novedad sobre mi indemnización?
I do not know how to check what shipping options I have,DELIVERY,delivery_options,No sé cómo consultar las opciones de envío que tengo.
can ya help me see the accepted payment modalities,PAYMENT,check_payment_methods,¿Me puedes ayudar a ver las modalidades de pago aceptadas?
want assistance to give a quick olok at invoice #37777,INVOICE,check_invoice,necesito ayuda para dar un vistazo rápido a la factura n.° 37777
what do I need to do to make a goddamn complaint?,FEEDBACK,complaint,¿Qué tengo que hacer para presentar una maldita queja?
I don't know what to do to notify of an sisue with sign-up,ACCOUNT,registration_problems,No sé qué hacer para notificar un problema con el registro.
i xepect a refund of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,Espero un reembolso de {{Moneda Símbolo}}{{Importe del Reembolso}}
I need help cancelling order {{Order Number}},ORDER,cancel_order,Necesito ayuda para cancelar el pedido {{Número de pedido}}.
i have to use the {{Account Category}} account,ACCOUNT,switch_account,Tengo que usar la cuenta {{Categoría de cuenta}}
i need help seeing the status of my compensation,REFUND,track_refund,Necesito ayuda para ver el estado de mi compensación.
I cannot see order {{Order Number}} status,ORDER,track_order,No puedo ver el estado del pedido {{Número de pedido}}
need help seeing how soon can i expect my package,DELIVERY,delivery_period,Necesito ayuda para saber cuándo puedo esperar mi paquete.
where could I see if there is anything new on my refund?,REFUND,track_refund,¿Dónde puedo consultar si hay alguna novedad sobre mi reembolso?
help me see in what case can i request the bloody refunds,REFUND,check_refund_policy,Ayúdenme a ver en qué caso puedo solicitar los malditos reembolsos.
I can't talk with an assistant,CONTACT,contact_human_agent,No puedo hablar con un asistente.
I don't know what I need to do to downloa the invoice #85632,INVOICE,get_invoice,No sé qué debo hacer para descargar la factura n.° 85632.
where do i check the restitution status,REFUND,track_refund,¿Dónde puedo consultar el estado de la restitución?
"I want to correct the shipping address, can you help me?",SHIPPING,change_shipping_address,"Quiero corregir la dirección de envío, ¿me puedes ayudar?"
ius it possible to recover my user account key?,ACCOUNT,recover_password,¿Es posible recuperar la clave de mi cuenta de usuario?
I cannot see the status of my compensation,REFUND,track_refund,No puedo ver el estado de mi compensación.
is it possible to notify of signup problems?,ACCOUNT,registration_problems,¿Es posible notificar los problemas de registro?
I want help entering the shipping address,SHIPPING,set_up_shipping_address,Quiero ayuda para introducir la dirección de envío.
i need help checking what payment methods are accepted,PAYMENT,check_payment_methods,Necesito ayuda para comprobar qué métodos de pago se aceptan.
how can I find my bill from {{Person Name}}?,INVOICE,check_invoice,¿Cómo puedo encontrar mi factura de {{Nombre de la persona}}?
I do not know what to do to download the invoice #12588,INVOICE,get_invoice,No sé qué hacer para descargar la factura n.° 12588.
"I am looking for the shipping periods, I need help",DELIVERY,delivery_period,"Estoy buscando los plazos de envío, necesito ayuda."
I have got to download my goddamn invoice from {{Person Name}},INVOICE,get_invoice,Tengo que descargar mi maldita factura de {{Nombre de la persona}}
i have problems setting up my delivery address,SHIPPING,set_up_shipping_address,Tengo problemas para configurar mi dirección de entrega.
i have got to check ur accepted payment modalities,PAYMENT,check_payment_methods,Tengo que comprobar las modalidades de pago que aceptas.
I expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,Espero una compensación de {{Cantidad de reembolso}} dólares
I have to check the ETA of the purchase {{Order Number}},ORDER,track_order,Tengo que comprobar la fecha estimada de entrega de la compra {{Número de pedido}}
help me reporting an issue wigh online payment,PAYMENT,payment_issue,Ayúdenme a reportar un problema con el pago en línea.
I have got to contact a human agent,CONTACT,contact_human_agent,Tengo que contactar con un agente humano.
want help reporting an error with online payments,PAYMENT,payment_issue,¿Necesitas ayuda para reportar un error con los pagos en línea?
where to file a customer complaint against ur business,FEEDBACK,complaint,dónde presentar una queja de un cliente contra su empresa
i need help to see purchase {{Order Number}} status,ORDER,track_order,Necesito ayuda para ver el estado de la compra {{Número de pedido}}
I am trying to cancel my corporate newsletter subscription,SUBSCRIPTION,newsletter_subscription,Estoy intentando cancelar mi suscripción al boletín informativo de la empresa.
need help notifying of problems with online payments,PAYMENT,payment_issue,Necesito ayuda para notificar problemas con los pagos en línea.
how to check the eta of order {{Order Number}},ORDER,track_order,Cómo consultar la fecha estimada de entrega del pedido {{Número de pedido}}
can you help me to recover my PIN code?,ACCOUNT,recover_password,¿Puedes ayudarme a recuperar mi código PIN?
what do I have to do to restore my account key?,ACCOUNT,recover_password,¿Qué debo hacer para restaurar la clave de mi cuenta?
how can I see how son can I expect my package?,DELIVERY,delivery_period,¿Cómo puedo saber cuándo puedo esperar mi paquete?
where do I see the ETA of purchase {{Order Number}}?,ORDER,track_order,¿Dónde puedo ver la fecha estimada de entrega de la compra {{Número de pedido}}?
I call to leave some feedback about your services,FEEDBACK,review,Llamo para dejar algunos comentarios sobre sus servicios.
i do not know what to do to talk to an assistant,CONTACT,contact_human_agent,No sé qué hacer para hablar con un asistente.
i need assistance to check how long the shipping tazkes,DELIVERY,delivery_period,Necesito ayuda para comprobar cuánto tarda el envío de Tazkes.
where do I see what shipping options I can choose?,DELIVERY,delivery_options,¿Dónde puedo ver las opciones de envío que tengo disponibles?
what do I need to do to find my invoice #00108?,INVOICE,check_invoice,¿Qué debo hacer para encontrar mi factura n.° 00108?
I  need assistance reporting an issue with online payment,PAYMENT,payment_issue,Necesito ayuda para reportar un problema con el pago en línea.
i need help to switch to the standard account,ACCOUNT,switch_account,Necesito ayuda para cambiar a la cuenta estándar.
what do I need to do to change the address?,SHIPPING,change_shipping_address,¿Qué debo hacer para cambiar la dirección?
how to use the {{Account Category}} profile,ACCOUNT,switch_account,Cómo usar el perfil {{Account Category}}
I don't know how I can submit the delivery address,SHIPPING,set_up_shipping_address,No sé cómo puedo enviar la dirección de entrega.
help speaking with a human agent,CONTACT,contact_human_agent,Ayuda para hablar con un agente humano
i dont know how to report issues with online payments,PAYMENT,payment_issue,No sé cómo reportar problemas con los pagos en línea.
wanna change the personal details i need help,ACCOUNT,edit_account,"Quiero cambiar los datos personales, necesito ayuda."
I am trying to leave my feedbacj for your products,FEEDBACK,review,Estoy intentando dejar mi opinión sobre sus productos.
"I want to see the cancellation penalty, help me",CANCEL,check_cancellation_fee,"Quiero ver la penalización por cancelación, ayúdenme."
I don't know what I need to do to check bill #37777,INVOICE,check_invoice,No sé qué debo hacer para consultar la factura n.° 37777.
the experience with ur brand was bad file a claim,FEEDBACK,complaint,La experiencia con su marca fue mala. Presente una reclamación.
I'm trying to inform of an issue with payments,PAYMENT,payment_issue,Estoy intentando informar sobre un problema con los pagos.
I am trying to cancel a freemium account,ACCOUNT,delete_account,Estoy intentando cancelar una cuenta freemium.
want support updating the delivery dadress,SHIPPING,change_shipping_address,Quiero ayuda para actualizar la dirección de entrega.
how to correct my user data?,ACCOUNT,edit_account,¿Cómo corrijo mis datos de usuario?
I want assistance to check the goddamn payment methods,PAYMENT,check_payment_methods,Quiero ayuda para comprobar los malditos métodos de pago.
I want toleave an opinion for a service,FEEDBACK,review,Quiero dejar una opinión sobre un servicio.
i do not know how to switch to the {{Account Type}} account,ACCOUNT,switch_account,No sé cómo cambiar a la cuenta {{Account Type}}
I need assistance resetting the key of my user account,ACCOUNT,recover_password,Necesito ayuda para restablecer la clave de mi cuenta de usuario.
I do not know how I could receive an reimbursement of money,REFUND,get_refund,No sé cómo podría recibir un reembolso de dinero.
can uhelp me to see te early exit charges,CANCEL,check_cancellation_fee,¿Puedes ayudarme a ver los cargos por salida anticipada?
I want help canceling purchase {{Order Number}},ORDER,cancel_order,Quiero ayuda para cancelar la compra {{Número de pedido}}
could uhelp me correct order {{Order Number}},ORDER,change_order,¿Podrías ayudarme a corregir el pedido {{Número de pedido}}?
lodge customer complaint against your business,FEEDBACK,complaint,Presente una queja de un cliente contra su empresa.
what do i have to do to remove the {{Account Type}} account,ACCOUNT,delete_account,¿Qué debo hacer para eliminar la cuenta {{Account Type}}?
where could I cancel purchase {{Order Number}}?,ORDER,cancel_order,¿Dónde puedo cancelar la compra {{Número de pedido}}?
want assistance opening a standard account,ACCOUNT,create_account,¿Necesitas ayuda para abrir una cuenta estándar?
what do i need to do to inform of problems wiht payment,PAYMENT,payment_issue,¿Qué debo hacer para informar sobre problemas con el pago?
I do not know what I need to do to track the restitution,REFUND,track_refund,No sé qué debo hacer para dar seguimiento a la restitución.
how could I inform of errors with payment?,PAYMENT,payment_issue,¿Cómo puedo informar sobre errores en el pago?
I want assistance checking the ETA of purchase {{Order Number}},ORDER,track_order,Quiero ayuda para comprobar la fecha estimada de entrega de la compra {{Número de pedido}}.
i have got to correct the info included on my user profile,ACCOUNT,edit_account,Tengo que corregir la información incluida en mi perfil de usuario.
I do not know how I can notify of sign-up issues,ACCOUNT,registration_problems,No sé cómo puedo notificar los problemas de registro.
can I change to the {{Account Category}} account?,ACCOUNT,switch_account,¿Puedo cambiar a la cuenta {{Categoría de cuenta}}?
can i remove a {{Account Type}} account,ACCOUNT,delete_account,¿Puedo eliminar una cuenta {{Account Type}}?
I cannot switch to the standard account,ACCOUNT,switch_account,No puedo cambiar a la cuenta estándar.
when is my purchase gonna arrive,DELIVERY,delivery_period,¿Cuándo llegará mi compra?
I don't know what I need to do to change to the {{Account Type}} account,ACCOUNT,switch_account,No sé qué debo hacer para cambiar a la cuenta {{Account Type}}
give me information about the shipping methods,DELIVERY,delivery_options,Dame información sobre los métodos de envío.
I do not know what to do to subscribe to your newsletter,SUBSCRIPTION,newsletter_subscription,No sé qué hacer para suscribirme a su boletín informativo.
what do I need to do to request my money baqck?,REFUND,get_refund,¿Qué debo hacer para solicitar la devolución de mi dinero?
how do I cancel my subscription to the newsletter ?,SUBSCRIPTION,newsletter_subscription,¿Cómo puedo cancelar mi suscripción al boletín informativo?
where to check my bill #00108?,INVOICE,check_invoice,¿Dónde puedo consultar mi factura n.º 00108?
I want help speaking to goddamn customer service,CONTACT,contact_customer_service,Quiero ayuda para hablar con el maldito servicio al cliente.
i try to inform of issues with payments,PAYMENT,payment_issue,Intento informar sobre problemas con los pagos.
want assistance to notify of an erro with payment,PAYMENT,payment_issue,Necesito ayuda para notificar un error con el pago.
I try to list your available payment methoids,PAYMENT,check_payment_methods,Trato de enumerar los métodos de pago disponibles.
need to see the accepted payment options how do i do it,PAYMENT,check_payment_methods,"Necesito ver las opciones de pago aceptadas, ¿cómo lo hago?"
cance order {{Order Number}},ORDER,cancel_order,cancelar pedido {{Número de pedido}}
I need help to report a problem with a registration,ACCOUNT,registration_problems,Necesito ayuda para reportar un problema con un registro.
I want assistance checking your reimbursement policy,REFUND,check_refund_policy,Quiero ayuda para revisar su política de reembolso.
can i order frrom {{Delivery Country}},DELIVERY,delivery_options,¿Puedo hacer un pedido desde {{País de entrega}}?
I don't know how I could change to the premium account,ACCOUNT,switch_account,No sé cómo podría cambiar a la cuenta premium.
I have a trouble setting a secondary delivery address up,SHIPPING,set_up_shipping_address,Tengo problemas para configurar una dirección de entrega secundaria.
is it possible tocheck invoice #37777,INVOICE,check_invoice,¿Es posible consultar la factura n.º 37777?
can you help me checking the cancellation charge?,CANCEL,check_cancellation_fee,¿Puedes ayudarme a comprobar el cargo por cancelación?
can you help me to set up my secndary delivery address?,SHIPPING,set_up_shipping_address,¿Me puedes ayudar a configurar mi dirección de entrega secundaria?
need assistance correcting the address,SHIPPING,change_shipping_address,Necesito ayuda para corregir la dirección.
help earning some of youe article,ORDER,place_order,ayuda para ganar algo de tu artículo
correcting data on pro account,ACCOUNT,edit_account,Corrección de datos en la cuenta Pro
I have an error entering my fucking new shipping address,SHIPPING,set_up_shipping_address,Tengo un error al ingresar mi nueva dirección de envío.
I don't know what I need to do to download the bill #00108,INVOICE,get_invoice,No sé qué debo hacer para descargar la factura n.° 00108.
I try to check in what casescan I request a reimbursement,REFUND,check_refund_policy,Intento averiguar en qué casos puedo solicitar un reembolso.
i want assistance chatting with a person,CONTACT,contact_human_agent,Quiero ayuda para chatear con una persona.
rebate {{Refund Amount}} dollarx,REFUND,get_refund,reembolso {{Importe del reembolso}} dólaresx
"I have got to shop a damn item, how to do it?",ORDER,place_order,"Tengo que comprar un maldito artículo, ¿cómo lo hago?"
how can i see ur available payment options,PAYMENT,check_payment_methods,¿Cómo puedo ver las opciones de pago disponibles?
"the new delivery address is invalid, what should I do?",SHIPPING,set_up_shipping_address,"La nueva dirección de entrega no es válida, ¿qué debo hacer?"
i cant recover the key of my user profile,ACCOUNT,recover_password,No puedo recuperar la clave de mi perfil de usuario.
can you tell me about updating my fucking shipping address?,SHIPPING,change_shipping_address,¿Puedes decirme cómo actualizar mi maldita dirección de envío?
assistance to see the accepted payment options,PAYMENT,check_payment_methods,Asistencia para ver las opciones de pago aceptadas
I have issues trying to register,ACCOUNT,registration_problems,Tengo problemas al intentar registrarme.
"I do not use the damn gold account, I am trying to close it",ACCOUNT,delete_account,"No uso la maldita cuenta Gold, estoy intentando cerrarla."
I don't know what I have to do to see the delivery options,DELIVERY,delivery_options,No sé qué tengo que hacer para ver las opciones de entrega.
i have to report issues with online payment,PAYMENT,payment_issue,Tengo que reportar problemas con el pago en línea.
need help informing of a problem with online payments,PAYMENT,payment_issue,Necesito ayuda para informar de un problema con los pagos en línea.
update purcahse {{Order Number}},ORDER,change_order,actualizar compra {{Número de pedido}}
I need to cancel my company newsletter subscription,SUBSCRIPTION,newsletter_subscription,Necesito cancelar mi suscripción al boletín informativo de la empresa.
i do not know what to do to request refunds,REFUND,get_refund,No sé qué hacer para solicitar reembolsos.
how can I switch to the freemium account?,ACCOUNT,switch_account,¿Cómo puedo cambiar a la cuenta freemium?
I want to inform of an error with a damn signup,ACCOUNT,registration_problems,Quiero informar de un error con un maldito registro.
see if there are any news on the compensation,REFUND,track_refund,Ver si hay alguna noticia sobre la compensación.
"I need to see your available payment options, how to do it?",PAYMENT,check_payment_methods,"Necesito ver las opciones de pago disponibles, ¿cómo puedo hacerlo?"
informing of problem with sign-up,ACCOUNT,registration_problems,Informando sobre un problema con el registro.
needc to talk to an assistant,CONTACT,contact_human_agent,Necesito hablar con un asistente.
change purchzse {{Order Number}},ORDER,change_order,cambiar compra {{Número de pedido}}
"I would like to see the delivery options, I need assistance",DELIVERY,delivery_options,"Me gustaría ver las opciones de entrega, necesito ayuda."
"I have got to locate order {{Order Number}}, can I get some help?",ORDER,track_order,"Tengo que localizar el pedido {{Número de pedido}}, ¿me pueden ayudar?"
can you help me to inform of problems with payment?,PAYMENT,payment_issue,¿Podrías ayudarme a informar sobre problemas con el pago?
I want assistance to cancle purchase {{Order Number}},ORDER,cancel_order,Quiero ayuda para cancelar la compra {{Número de pedido}}
ened help with cancelling purchase {{Order Number}},ORDER,cancel_order,Necesito ayuda para cancelar la compra {{Número de pedido}}
canuhelp me to see the cancellation penalty,CANCEL,check_cancellation_fee,¿Puedes ayudarme a ver la penalización por cancelación?
I want to see how long it takes for the dewlivery to arrive,DELIVERY,delivery_period,Quiero ver cuánto tarda en llegar el rocío.
i dont know how to leave feedback about ur company,FEEDBACK,review,No sé cómo dejar comentarios sobre su empresa.
I need help with canceling purchase {{Order Number}},ORDER,cancel_order,Necesito ayuda para cancelar la compra {{Número de pedido}}
need help to contact a human agent,CONTACT,contact_human_agent,Necesito ayuda para contactar con un agente humano.
I need help to locate order {{Order Number}},ORDER,track_order,Necesito ayuda para localizar el pedido {{Número de pedido}}.
help me to see the accepted payment modalities,PAYMENT,check_payment_methods,Ayúdame a ver las modalidades de pago aceptadas.
I don't know how I can write an opinion for a product,FEEDBACK,review,No sé cómo puedo escribir una opinión sobre un producto.
help to check how long it takes for my package to arrive,DELIVERY,delivery_period,Ayuda para comprobar cuánto tarda en llegar mi paquete.
I have to see in which cases can I request a reimbursement,REFUND,check_refund_policy,Tengo que ver en qué casos puedo solicitar un reembolso.
can I see the accepted payment modalities?,PAYMENT,check_payment_methods,¿Puedo ver las modalidades de pago aceptadas?
where could i switch to the bloody standard account,ACCOUNT,switch_account,¿Dónde puedo cambiarme a la maldita cuenta estándar?
where do I unsubscribe to your company newsletter?,SUBSCRIPTION,newsletter_subscription,¿Dónde puedo darme de baja del boletín informativo de su empresa?
can you tell me what hours I can call customer service?,CONTACT,contact_customer_service,¿Podría indicarme en qué horario puedo llamar al servicio de atención al cliente?
can I order from {{Delivery City}}?,DELIVERY,delivery_options,¿Puedo hacer un pedido desde {{Delivery City}}?
checking ETA of order {{Order Number}},ORDER,track_order,Comprobando la fecha estimada de llegada del pedido {{Número de pedido}}
what do I have to do to talk with a live agent?,CONTACT,contact_human_agent,¿Qué debo hacer para hablar con un agente en directo?
see my restitution current status,REFUND,track_refund,ver el estado actual de mi restitución
i want help writing a comment for a serrvice,FEEDBACK,review,Quiero ayuda para escribir un comentario sobre un servicio.
I need help to set my secondeary shipping address up,SHIPPING,set_up_shipping_address,Necesito ayuda para configurar mi dirección de envío secundaria.
reporting troubles with online payment,PAYMENT,payment_issue,Informando de problemas con el pago en línea
"I have got to talk with customer assistance, how to do it?",CONTACT,contact_customer_service,"Tengo que hablar con atención al cliente, ¿cómo puedo hacerlo?"
i dont know what i have to do to close my gold account,ACCOUNT,delete_account,No sé qué tengo que hacer para cerrar mi cuenta Gold.
I am waiting for a compensation of {{Refund Amount}} dollars,REFUND,track_refund,Estoy esperando una compensación de {{Refund Amount}} dólares.
is it possible to see purchase {{Order Number}} current status,ORDER,track_order,¿Es posible ver el estado actual de la compra {{Número de pedido}}?
help me to get a rebate,REFUND,get_refund,Ayúdame a obtener un reembolso.
wanna inform of errors with online payment can uhelp me,PAYMENT,payment_issue,"Quiero informar sobre errores con el pago en línea, ¿puedes ayudarme?"
how to see at what time i can contact customer support,CONTACT,contact_customer_service,¿Cómo puedo consultar el horario de atención al cliente?
I need to see how soon can I expect my damn order,DELIVERY,delivery_period,Necesito saber cuándo puedo esperar mi maldito pedido.
how can i change purchase {{Order Number}},ORDER,change_order,¿Cómo puedo cambiar la compra {{Número de pedido}}?
I'm waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,Estoy esperando un reembolso de {{Currency Symbol}}{{Refund Amount}}
i have to see how long the delivery takesi need help,DELIVERY,delivery_period,Tengo que ver cuánto tarda la entrega. Necesito ayuda.
I don't know what to do to locate order {{Order Number}},ORDER,track_order,No sé qué hacer para localizar el pedido {{Número de pedido}}.
"I need to file a customer claim, how do I do it?",FEEDBACK,complaint,"Necesito presentar una reclamación de cliente, ¿cómo lo hago?"
I do not know what to do to locate purchase {{Order Number}},ORDER,track_order,No sé qué hacer para localizar la compra {{Número de pedido}}.
I can't pay for purchase {{Order Number}},ORDER,cancel_order,No puedo pagar la compra {{Número de pedido}}
i want help adding some products to purchase {{Order Number}},ORDER,change_order,Quiero ayuda para agregar algunos productos a la compra {{Número de pedido}}
want assistance switching to the premium cacount,ACCOUNT,switch_account,¿Necesitas ayuda para cambiar a la cuenta premium?
assistance to unsubscribe from your corporate newsletter,SUBSCRIPTION,newsletter_subscription,Ayuda para cancelar la suscripción a su boletín informativo corporativo.
i expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,Espero una compensación de {{Símbolo de moneda}}{{Importe del reembolso}}
where to cancel purchase {{Order Number}}?,ORDER,cancel_order,¿Dónde cancelar la compra {{Número de pedido}}?
can uhelp me  looking for the bills from {{Person Name}},INVOICE,check_invoice,¿Puedes ayudarme a encontrar las facturas de {{Nombre de la persona}}?
I have got to submit my new shipping address,SHIPPING,set_up_shipping_address,Tengo que enviar mi nueva dirección de envío.
see bill #37777,INVOICE,check_invoice,Ver factura n.° 37777
show me the early exit penalty,CANCEL,check_cancellation_fee,Muéstrame la penalización por salida anticipada
i do not know what i have to do to locate the invoice #00108,INVOICE,check_invoice,No sé qué tengo que hacer para localizar la factura n.° 00108.
assistance filing a customer complaint against ur company,FEEDBACK,complaint,Asistencia para presentar una queja de un cliente contra su empresa.
"I need to leave a comment for your services, how to do it?",FEEDBACK,review,"Necesito dejar un comentario sobre sus servicios, ¿cómo puedo hacerlo?"
i dont know how to enter the shipping address,SHIPPING,set_up_shipping_address,No sé cómo introducir la dirección de envío.
trouble correcting address,SHIPPING,change_shipping_address,dirección de corrección de problemas
change  order {{Order Number}},ORDER,change_order,cambiar pedido {{Número de pedido}}
what do I have to do to inform of a registration problem?,ACCOUNT,registration_problems,¿Qué debo hacer para informar de un problema de registro?
I want help to file a reclamation against your company,FEEDBACK,complaint,Quiero ayuda para presentar una reclamación contra su empresa.
have problems with creazting my {{Account Type}} account,ACCOUNT,create_account,Tengo problemas para crear mi cuenta {{Account Type}}.
"I am trying to find the shipping periods, can you help me?",DELIVERY,delivery_period,"Estoy intentando averiguar los plazos de envío, ¿me puedes ayudar?"
can i cancel the bloody usbscription to ur newsletter,SUBSCRIPTION,newsletter_subscription,¿Puedo cancelar la maldita suscripción a su boletín informativo?
"the secondary shipping address is not valid, help me",SHIPPING,set_up_shipping_address,"La dirección de envío secundaria no es válida, ayúdenme."
"I need to see if there are any news on the refund, help me",REFUND,track_refund,"Necesito saber si hay alguna noticia sobre el reembolso, ayúdenme."
i do not know what to do to download the invoice #37777,INVOICE,get_invoice,No sé qué hacer para descargar la factura n.° 37777.
how do I speak to customer service?,CONTACT,contact_customer_service,¿Cómo puedo comunicarme con el servicio al cliente?
can you help me editing my address?,SHIPPING,change_shipping_address,¿Puedes ayudarme a editar mi dirección?
"I want to reset the bloody key of my user, will you help me?",ACCOUNT,recover_password,"Quiero restablecer la maldita clave de mi usuario, ¿me ayudarás?"
